"ID","Nome científico","Gênero","Subgênero","Epíteto específico","Status da espécie","Região/fauna","Subtribo","n_articles_ai_studied_species","n_candidate_articles_species","studied_article_ids","studied_titles"
1,"Asperplebeia moureana","Asperplebeia","NA","moureana","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
2,"Asperplebeia tica","Asperplebeia","NA","tica","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
3,"Cephalotrigona capitata","Cephalotrigona","NA","capitata","Extante","Neotropical / Novo Mundo","Meliponina",2,2,"31; 331","Karyotype description of cephalotrigona femorata Smith (Hymenoptera: Apidae) and the C-banding pattern as a specific marker for Cephalotrigona; Comparative molecular cytogenetics in five species of stingless bees (Hymenoptera, Apidae)"
4,"Cephalotrigona eburneiventer","Cephalotrigona","NA","eburneiventer","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
5,"Cephalotrigona femorata","Cephalotrigona","NA","femorata","Extante","Neotropical / Novo Mundo","Meliponina",2,2,"31; 258","Karyotype description of cephalotrigona femorata Smith (Hymenoptera: Apidae) and the C-banding pattern as a specific marker for Cephalotrigona; Yeasts from the nests of two Amazonian stingless bees: screening and PCR-RFLP molecular analysis"
6,"Cephalotrigona oaxacana","Cephalotrigona","NA","oaxacana","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
7,"Cephalotrigona zexmeniae","Cephalotrigona","NA","zexmeniae","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
8,"Duckeola ghilianii","Duckeola","NA","ghilianii","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
9,"Duckeola pavani","Duckeola","NA","pavani","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
10,"Friesella schrottkyi","Friesella","NA","schrottkyi","Extante","Neotropical / Novo Mundo","Meliponina",2,2,"37; 388","Comparative study on the physical mapping of ribosomal genes and repetitive sequences in Friesella schrottkyi (Friese 1900) (Hymenoptera: Apidae, Meliponini); GENETIC-VARIABILITY IN NATURAL-POPULATIONS OF BRAZILIAN SOCIAL BEES .3. ELECTROPHORETIC DATA FOR ME, GPD, SOD AND IDH"
11,"Frieseomelitta dispar","Frieseomelitta","NA","dispar","Extante","Neotropical / Novo Mundo","Meliponina",1,1,"345","Cytogenetic characterization of two species of Frieseomelittaihering, 1912 (Hymenoptera, Apidae, Meliponini)"
12,"Frieseomelitta doederleini","Frieseomelitta","NA","doederleini","Extante","Neotropical / Novo Mundo","Meliponina",1,1,"263","Karyotype diversity of stingless bees of the genus frieseomelitta (Hymenoptera, apidae, meliponini)"
13,"Frieseomelitta flavicornis","Frieseomelitta","NA","flavicornis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
14,"Frieseomelitta languida","Frieseomelitta","NA","languida","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
15,"Frieseomelitta lehmanni","Frieseomelitta","NA","lehmanni","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
16,"Frieseomelitta longipes","Frieseomelitta","NA","longipes","Extante","Neotropical / Novo Mundo","Meliponina",1,1,"263","Karyotype diversity of stingless bees of the genus frieseomelitta (Hymenoptera, apidae, meliponini)"
17,"Frieseomelitta meadewaldoi","Frieseomelitta","NA","meadewaldoi","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
18,"Frieseomelitta nigra","Frieseomelitta","NA","nigra","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
19,"Frieseomelitta paranigra","Frieseomelitta","NA","paranigra","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
20,"Frieseomelitta paupera","Frieseomelitta","NA","paupera","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
21,"Frieseomelitta portoi","Frieseomelitta","NA","portoi","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
22,"Frieseomelitta silvestrii","Frieseomelitta","NA","silvestrii","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
23,"Frieseomelitta trichocerata","Frieseomelitta","NA","trichocerata","Extante","Neotropical / Novo Mundo","Meliponina",2,2,"167; 263","Karyotypes and Chromosomal Mapping of Some Repetitive DNAs in Two Stingless Bee Species (Apidae: Meliponini), with the Description of a B Chromosome in Plebeia Genus; Karyotype diversity of stingless bees of the genus frieseomelitta (Hymenoptera, apidae, meliponini)"
24,"Frieseomelitta varia","Frieseomelitta","NA","varia","Extante","Neotropical / Novo Mundo","Meliponina",17,17,"22; 36; 47; 57; 69; 81; 147; 175; 195; 196; 197; 285; 296; 345; 353; 385; 393","Exploring integument transcriptomes, cuticle ultrastructure, and cuticular hydrocarbons profiles in eusocial and solitary bee species displaying heterochronic adult cuticle maturation; Evaluation of reference genes for gene expression analysis by real-time quantitative PCR (qPCR) in three stingless bee species (Hymenoptera: Apidae: Meliponini); Reproductive potential shapes the expression of nurse-to-forager transition genes in the workers of stingless bees (Meliponini); A scientific note on the isolation and characterization of microsatellite loci of Frieseomelitta varia (Hymenoptera, apidae, Meliponini); Cytogenomics of Frieseomelitta varia (Hymenoptera: Apidae) and the Sharing of a Satellite DNA Family in Several Neotropical Meliponini Genera; Isolation and characterization of ten microsatellite loci in stingless bee Trigona spinipes (Apidae: Meliponini); Functional orthologs of honeybee CYP6AQ1 in stingless bees degrade the butenolide insecticide flupyradifurone; Structural Variations in Complete Mitogenome of Stingless Bees Serve as Auxiliary Molecular Markers for Generic Systematics; Bacterial communities of indoor surface of stingless bee nests; Characterization of sex-specific variants of doublesex and feminizer genes in stingless bee species; The nuclear and mitochondrial genomes of Frieseomelitta varia - A highly eusocial stingless bee (Meliponini) with a permanently sterile worker caste; Recombination mapping of the Brazilian stingless bee Frieseomelitta varia confirms high recombination rates in social hymenoptera; Bacteria, yeasts, and fungi associated with larval food of Brazilian native stingless bees; Cytogenetic characterization of two species of Frieseomelittaihering, 1912 (Hymenoptera, Apidae, Meliponini); Sublethal pesticide exposure alters stress response, detoxification, and immunity gene expression in larvae of the stingless bee Frieseomelitta varia (Apidae: Meliponini); Vitellogenin gene expression in stingless bee workers differing in egg-laying behavior; Developmental and behavioral modulation of humoral immunity in the stingless bee Frieseomelitta varia"
25,"Geotrigona acapulconis","Geotrigona","Chthonotrigona","acapulconis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
26,"Geotrigona chiriquiensis","Geotrigona","Chthonotrigona","chiriquiensis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
27,"Geotrigona fulvohirta","Geotrigona","Chthonotrigona","fulvohirta","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
28,"Geotrigona fumipennis","Geotrigona","Chthonotrigona","fumipennis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
29,"Geotrigona joearroyoi","Geotrigona","Chthonotrigona","joearroyoi","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
30,"Geotrigona kaba","Geotrigona","Chthonotrigona","kaba","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
31,"Geotrigona leucogastra","Geotrigona","Chthonotrigona","leucogastra","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
32,"Geotrigona lutzi","Geotrigona","Chthonotrigona","lutzi","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
33,"Geotrigona terricola","Geotrigona","Chthonotrigona","terricola","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
34,"Geotrigona aequinoctialis","Geotrigona","Geotrigona","aequinoctialis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
35,"Geotrigona argentina","Geotrigona","Geotrigona","argentina","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
36,"Geotrigona fulvatra","Geotrigona","Geotrigona","fulvatra","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
37,"Geotrigona kraussi","Geotrigona","Geotrigona","kraussi","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
38,"Geotrigona kwyrakai","Geotrigona","Geotrigona","kwyrakai","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
39,"Geotrigona mattogrossensis","Geotrigona","Geotrigona","mattogrossensis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
40,"Geotrigona mombuca","Geotrigona","Geotrigona","mombuca","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
41,"Geotrigona subfulva","Geotrigona","Geotrigona","subfulva","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
42,"Geotrigona subgrisea","Geotrigona","Geotrigona","subgrisea","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
43,"Geotrigona subnigra","Geotrigona","Geotrigona","subnigra","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
