"ID","genus","Status do gênero","Região/fauna principal","Subtribo","Autoridade no artigo","Nº espécies extantes","Nº espécies extintas","Nº total de espécies","n_species_in_dictionary","n_articles_species_mentions","n_species_matched","matched_species","article_ids_species_mentions","n_articles_full_binomial_mentions","n_articles_abbrev_contextual_mentions","n_articles_genus_name_mentions","n_articles_species_or_genus_mentions"
8,"Melipona","Extante","Neotropical / Novo Mundo","Meliponina","Illiger",73,0,73,73,166,34,"Melipona bicolor; Melipona marginata; Melipona puncticollis; Melipona beecheii; Melipona compressipes; Melipona fasciculata; Melipona interrupta; Melipona quinquefasciata; Melipona favosa; Melipona mandacaia; Melipona quadrifasciata; Melipona subnitida; Melipona yucatanica; Melipona capixaba; Melipona colimana; Melipona crinita; Melipona dubia; Melipona eburnea; Melipona fasciata; Melipona flavolineata; Melipona fuscopilosa; Melipona mondury; Melipona nebulosa; Melipona paraensis; Melipona rufiventris; Melipona scutellaris; Melipona seminigra; Melipona fuliginosa; Melipona asilvai; Melipona schencki; Melipona captiosa; Melipona cramptoni; Melipona illota; Melipona melanoventer","10; 46; 58; 67; 76; 83; 151; 156; 179; 209; 238; 244; 274; 282; 284; 321; 336; 354; 221; 387; 399; 13; 5; 25; 93; 143; 202; 266; 308; 328; 342; 294; 391; 11; 64; 119; 257; 124; 128; 189; 258; 259; 288; 298; 360; 397; 99; 130; 141; 192; 323; 103; 49; 61; 164; 220; 277; 4; 34; 36; 39; 43; 47; 50; 71; 77; 88; 114; 125; 133; 134; 147; 170; 172; 182; 190; 194; 195; 196; 206; ...",160,97,188,188
19,"Scaptotrigona","Extante","Neotropical / Novo Mundo","Meliponina","Moure",51,0,51,51,49,9,"Scaptotrigona mexicana; Scaptotrigona bipunctata; Scaptotrigona polysticta; Scaptotrigona depilis; Scaptotrigona hellwegeri; Scaptotrigona pectoralis; Scaptotrigona postica; Scaptotrigona xanthotricha; Scaptotrigona tubiba","14; 19; 78; 85; 107; 173; 272; 314; 364; 36; 243; 301; 387; 388; 288; 74; 121; 171; 390; 42; 5; 154; 342; 46; 71; 76; 97; 113; 129; 133; 146; 164; 170; 179; 196; 224; 247; 251; 284; 347; 351; 361; 371; 385; 389; 88; 208; 249; 320",49,17,55,55
23,"Tetragonisca","Extante","Neotropical / Novo Mundo","Meliponina","Moure",4,0,4,4,43,3,"Tetragonisca angustula; Tetragonisca fiebrigi; Tetragonisca weyrauchi","16; 23; 24; 29; 32; 38; 79; 81; 88; 120; 136; 150; 153; 175; 178; 193; 195; 200; 210; 218; 224; 236; 251; 253; 256; 261; 287; 293; 296; 300; 306; 315; 335; 349; 371; 372; 374; 376; 392; 70; 165; 169; 278",43,26,44,44
44,"Tetragonula","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina","Moure",44,1,45,45,41,15,"Tetragonula carbonaria; Tetragonula davenporti; Tetragonula drescheri; Tetragonula fuscobalteata; Tetragonula hockingsi; Tetragonula iridipennis; Tetragonula laeviceps; Tetragonula melanocephala; Tetragonula mellipes; Tetragonula minangkabau; Tetragonula pagdeni; Tetragonula sapiens; Tetragonula sarawakensis; Tetragonula testaceitarsis; Tetragonula clypearis","51; 52; 84; 98; 101; 137; 147; 186; 198; 214; 215; 226; 229; 246; 274; 368; 316; 330; 8; 65; 115; 155; 123; 158; 160; 162; 237; 252; 332; 354; 145; 260; 17; 45; 48; 106; 161; 175; 305; 6; 117",40,25,48,48
16,"Partamona","Extante","Neotropical / Novo Mundo","Meliponina","Schwarz",34,0,34,34,37,15,"Partamona ailyae; Partamona auripennis; Partamona bilineata; Partamona chapadicola; Partamona criptica; Partamona cupira; Partamona gregaria; Partamona helleri; Partamona mulata; Partamona nhambiquara; Partamona rustica; Partamona seridoensis; Partamona sooretamae; Partamona testacea; Partamona vicina","15; 276; 28; 331; 53; 313; 329; 108; 135; 322; 55; 63; 76; 87; 88; 92; 102; 148; 149; 163; 201; 205; 207; 243; 254; 307; 321; 349; 362; 81; 126; 179; 217; 59; 3; 89; 253",37,24,40,40
38,"Heterotrigona","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina","Schwarz",13,0,13,13,29,3,"Heterotrigona bakeri; Heterotrigona erythrogastra; Heterotrigona itama","186; 381; 138; 35; 104; 110; 116; 123; 131; 145; 147; 158; 162; 199; 233; 237; 245; 250; 262; 269; 289; 292; 312; 316; 318; 319; 332; 343; 370",29,15,33,33
5,"Frieseomelitta","Extante","Neotropical / Novo Mundo","Meliponina","Ihering",14,0,14,14,19,5,"Frieseomelitta dispar; Frieseomelitta doederleini; Frieseomelitta longipes; Frieseomelitta trichocerata; Frieseomelitta varia","345; 263; 167; 22; 36; 47; 57; 69; 81; 147; 175; 195; 196; 197; 285; 296; 353; 385; 393",19,10,20,20
17,"Plebeia","Extante","Neotropical / Novo Mundo","Meliponina","Schwarz",54,0,54,54,18,13,"Plebeia franki; Plebeia droryana; Plebeia emerina; Plebeia flavocincta; Plebeia jatiformis; Plebeia llorentei; Plebeia lucii; Plebeia phrynostoma; Plebeia poecilochroa; Plebeia remota; Plebeia saiqui; Plebeia frontalis; Plebeia meridionalis","253; 86; 97; 168; 191; 265; 349; 379; 387; 391; 66; 5; 342; 183; 167; 76; 82; 111",18,9,19,19
25,"Trigona","Extante","Neotropical / Novo Mundo","Meliponina","Jurine",36,0,36,36,14,14,"Trigona chanchamayoensis; Trigona williana; Trigona pellucida; Trigona braueri; Trigona fulviventris; Trigona fuscipennis; Trigona amazonensis; Trigona hyalinata; Trigona spinipes; Trigona muzoensis; Trigona pallens; Trigona guianae; Trigona hypogea; Trigona truculenta","81; 288; 157; 219; 228; 251; 253; 139; 88; 187; 195; 375; 181; 339",12,9,37,37
40,"Lepidotrigona","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina","Schwarz",17,0,17,17,11,4,"Lepidotrigona arcifera; Lepidotrigona flavibasis; Lepidotrigona terminata; Lepidotrigona ventralis","7; 175; 286; 203; 6; 48; 106; 123; 186; 223; 310",11,6,18,18
