genus,table1_region_raw,biogeographic_region,subtribe
Asperplebeia,Neotropical / Novo Mundo,Neotropical,Meliponina
Cephalotrigona,Neotropical / Novo Mundo,Neotropical,Meliponina
Duckeola,Neotropical / Novo Mundo,Neotropical,Meliponina
Friesella,Neotropical / Novo Mundo,Neotropical,Meliponina
Frieseomelitta,Neotropical / Novo Mundo,Neotropical,Meliponina
Geotrigona,Neotropical / Novo Mundo,Neotropical,Meliponina
Lestrimelitta,Neotropical / Novo Mundo,Neotropical,Meliponina
Melipona,Neotropical / Novo Mundo,Neotropical,Meliponina
Meliwillea,Neotropical / Novo Mundo,Neotropical,Meliponina
Mourella,Neotropical / Novo Mundo,Neotropical,Meliponina
Nannotrigona,Neotropical / Novo Mundo,Neotropical,Meliponina
Nogueirapis,Neotropical / Novo Mundo,Neotropical,Meliponina
Oxytrigona,Neotropical / Novo Mundo,Neotropical,Meliponina
Paratrigona,Neotropical / Novo Mundo,Neotropical,Meliponina
Paratrigonoides,Neotropical / Novo Mundo,Neotropical,Meliponina
Partamona,Neotropical / Novo Mundo,Neotropical,Meliponina
Plebeia,Neotropical / Novo Mundo,Neotropical,Meliponina
Ptilotrigona,Neotropical / Novo Mundo,Neotropical,Meliponina
Scaptotrigona,Neotropical / Novo Mundo,Neotropical,Meliponina
Scaura,Neotropical / Novo Mundo,Neotropical,Meliponina
Schwarziana,Neotropical / Novo Mundo,Neotropical,Meliponina
Tetragona,Neotropical / Novo Mundo,Neotropical,Meliponina
Tetragonisca,Neotropical / Novo Mundo,Neotropical,Meliponina
Trichotrigona,Neotropical / Novo Mundo,Neotropical,Meliponina
Trigona,Neotropical / Novo Mundo,Neotropical,Meliponina
Trigonisca,Neotropical / Novo Mundo,Neotropical,Meliponina
Axestotrigona,Afrotropical,Afrotropical,Hypotrigonina
Dactylurina,Afrotropical,Afrotropical,Hypotrigonina
Hypotrigona,Afrotropical,Afrotropical,Hypotrigonina
Liotrigona,Afrotropical,Afrotropical,Hypotrigonina
Meliplebeia,Afrotropical,Afrotropical,Hypotrigonina
Meliponula,Afrotropical,Afrotropical,Hypotrigonina
Plebeiella,Afrotropical,Afrotropical,Hypotrigonina
Plebeina,Afrotropical,Afrotropical,Hypotrigonina
Austroplebeia,Indomalaia / Papuásia / Austrália,Indo-Australasian,Hypotrigonina
Ebaiotrigona,Indomalaia / Papuásia / Austrália,Indo-Australasian,Hypotrigonina
Geniotrigona,Indomalaia / Papuásia / Austrália,Indo-Australasian,Hypotrigonina
Heterotrigona,Indomalaia / Papuásia / Austrália,Indo-Australasian,Hypotrigonina
Homotrigona,Indomalaia / Papuásia / Austrália,Indo-Australasian,Hypotrigonina
Lepidotrigona,Indomalaia / Papuásia / Austrália,Indo-Australasian,Hypotrigonina
Lisotrigona,Indomalaia / Papuásia / Austrália,Indo-Australasian,Hypotrigonina
Papuatrigona,Indomalaia / Papuásia / Austrália,Indo-Australasian,Hypotrigonina
Pariotrigona,Indomalaia / Papuásia / Austrália,Indo-Australasian,Hypotrigonina
Tetragonula,Indomalaia / Papuásia / Austrália,Indo-Australasian,Hypotrigonina
Wallacetrigona,Indomalaia / Papuásia / Austrália,Indo-Australasian,Hypotrigonina
Adactylurina,Gêneros exclusivamente fósseis,NA,Hypotrigonina
Cretotrigona,Gêneros exclusivamente fósseis,NA,Hypotrigonina
Exebotrigona,Gêneros exclusivamente fósseis,NA,Hypotrigonina
Kelneriapis,Gêneros exclusivamente fósseis,NA,Hypotrigonina
Liotrigonopsis,Gêneros exclusivamente fósseis,NA,Hypotrigonina
Meliponorytes,Gêneros exclusivamente fósseis,NA,Hypotrigonina
Proplebeia,Gêneros exclusivamente fósseis,NA,Hypotrigonina
