frontier_rank,topic,article_label,short_label_article,compact_label,broader_theme,recent_mean_prevalence,recent_slope,current_prevalence,current_year
1,1,"Phylogenomics, taxonomy and evolutionary relationships",Phylogenomics/taxonomy,T1. Phylogenomics/taxonomy,Evolutionary relationships and taxonomy,0.1152046329738338,0.03489641777992578,0.22615850313756378,2026
2,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,Genome architecture and comparative genomics,0.1365121861616063,0.0337686942509128,0.20315997406058486,2026
3,6,mtDNA/COI marker assays and DNA barcoding,mtDNA/COI markers,T6. mtDNA/COI markers,"Marker assays, barcoding and molecular identification",0.09157484236870986,0.0031962573414113776,0.08717351056407724,2026
4,8,"Gene expression, caste differentiation and reproductive genetics",Expression/caste,T8. Expression/caste,Functional and reproductive genomics,0.06238940152087532,0.001769786237049682,0.06403666107865044,2026
5,10,"Allozyme, RAPD and enzyme polymorphism markers",Allozyme/RAPD markers,T10. Allozyme/RAPD markers,Classical marker-based genetics,0.0037288297162854397,-0.001794707097442526,5.265702619645274e-4,2026
6,5,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,Cytogenetics and cytogenomics,0.0759358884813611,-0.0019034640182400856,0.08587424561618576,2026
7,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,Disease ecology and environmental DNA,0.12542940407479075,-0.0031568373901302038,0.08297160381414329,2026
8,9,"Gut microbiome, detoxification and exposure responses",Microbiome/exposure,T9. Microbiome/exposure,Microbiome and environmental stress,0.13222634391922608,-0.010231251036112592,0.11972554213679963,2026
9,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,Microbiome and symbiosis,0.15098984982378488,-0.022026442359124616,0.12961800074595473,2026
10,7,"Population genetics, microsatellites and morphometrics",Population genetics,T7. Population genetics,Population structure and phenotypic differentiation,0.10600862095952647,-0.03451845370824966,7.553885840755795e-4,2026
