covariate_level,topic,mean_prevalence,median_prevalence,n_documents,topic_mean,prevalence_lift,article_label,short_label_article,compact_label,plot_label,broader_theme
Neotropical,7,0.2099978451420649,0.014288775570998925,313,0.08978089956285627,0.12021694557920863,"Population genetics, microsatellites and morphometrics",Population genetics,T7. Population genetics,"T7. Population genetics, microsatellites and morphometrics",Population structure and phenotypic differentiation
Neotropical,5,0.16648641133837713,0.003457441278556421,313,0.039658486244210575,0.12682792509416657,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics
Neotropical,8,0.13538247678484422,0.005109318375034763,313,0.05182393044806561,0.08355854633677862,"Gene expression, caste differentiation and reproductive genetics",Expression/caste,T8. Expression/caste,"T8. Gene expression, caste differentiation and reproductive genetics",Functional and reproductive genomics
Neotropical,10,0.10723626933523946,0.009376261170571963,313,0.04802057827648113,0.059215691058758325,"Allozyme, RAPD and enzyme polymorphism markers",Allozyme/RAPD markers,T10. Allozyme/RAPD markers,"T10. Allozyme, RAPD and enzyme polymorphism markers",Classical marker-based genetics
Neotropical,6,0.09912316920638486,0.009451154394888686,313,0.18151814687453702,-0.08239497766815215,mtDNA/COI marker assays and DNA barcoding,mtDNA/COI markers,T6. mtDNA/COI markers,T6. mtDNA/COI marker assays and DNA barcoding,"Marker assays, barcoding and molecular identification"
Indo-Australasian,6,0.21972071842921026,0.01675257696911341,63,0.18151814687453702,0.03820257155467324,mtDNA/COI marker assays and DNA barcoding,mtDNA/COI markers,T6. mtDNA/COI markers,T6. mtDNA/COI marker assays and DNA barcoding,"Marker assays, barcoding and molecular identification"
Indo-Australasian,2,0.1841859883947067,0.004282048470544958,63,0.1313899717710354,0.05279601662367131,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis
Indo-Australasian,4,0.15788235865706185,0.00893445492376998,63,0.1573484606382439,5.338980188179521e-4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics
Indo-Australasian,7,0.1223843171036122,0.005813684168158144,63,0.08978089956285627,0.03260341754075592,"Population genetics, microsatellites and morphometrics",Population genetics,T7. Population genetics,"T7. Population genetics, microsatellites and morphometrics",Population structure and phenotypic differentiation
Indo-Australasian,9,0.09233189780914978,0.0024943282200428104,63,0.07686128858316266,0.015470609225987128,"Gut microbiome, detoxification and exposure responses",Microbiome/exposure,T9. Microbiome/exposure,"T9. Gut microbiome, detoxification and exposure responses",Microbiome and environmental stress
