covariate_level,topic,mean_prevalence,median_prevalence,n_documents,topic_mean,prevalence_lift,article_label,short_label_article,compact_label,plot_label,broader_theme
Neotropical,1,0.06714916553583505,0.005482079016631524,313,0.12832010403285135,-0.0611709384970163,"Phylogenomics, taxonomy and evolutionary relationships",Phylogenomics/taxonomy,T1. Phylogenomics/taxonomy,"T1. Phylogenomics, taxonomy and evolutionary relationships",Evolutionary relationships and taxonomy
Neotropical,2,0.03971092916937195,7.109112932174366e-4,313,0.1313899717710354,-0.09167904260166344,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis
Neotropical,3,0.06658510126495887,0.0033940277658631494,313,0.09527813356855613,-0.028693032303597266,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA
Neotropical,4,0.0440737208825452,0.0020370987413003486,313,0.1573484606382439,-0.1132747397556987,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics
Neotropical,5,0.16648641133837713,0.003457441278556421,313,0.039658486244210575,0.12682792509416657,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics
Neotropical,6,0.09912316920638486,0.009451154394888686,313,0.18151814687453702,-0.08239497766815215,mtDNA/COI marker assays and DNA barcoding,mtDNA/COI markers,T6. mtDNA/COI markers,T6. mtDNA/COI marker assays and DNA barcoding,"Marker assays, barcoding and molecular identification"
Neotropical,7,0.2099978451420649,0.014288775570998925,313,0.08978089956285627,0.12021694557920863,"Population genetics, microsatellites and morphometrics",Population genetics,T7. Population genetics,"T7. Population genetics, microsatellites and morphometrics",Population structure and phenotypic differentiation
Neotropical,8,0.13538247678484422,0.005109318375034763,313,0.05182393044806561,0.08355854633677862,"Gene expression, caste differentiation and reproductive genetics",Expression/caste,T8. Expression/caste,"T8. Gene expression, caste differentiation and reproductive genetics",Functional and reproductive genomics
Neotropical,9,0.06425491134037833,0.0015481362699065837,313,0.07686128858316266,-0.012606377242784322,"Gut microbiome, detoxification and exposure responses",Microbiome/exposure,T9. Microbiome/exposure,"T9. Gut microbiome, detoxification and exposure responses",Microbiome and environmental stress
Neotropical,10,0.10723626933523946,0.009376261170571963,313,0.04802057827648113,0.059215691058758325,"Allozyme, RAPD and enzyme polymorphism markers",Allozyme/RAPD markers,T10. Allozyme/RAPD markers,"T10. Allozyme, RAPD and enzyme polymorphism markers",Classical marker-based genetics
Indo-Australasian,1,0.06423070572867237,0.004761300181460782,63,0.12832010403285135,-0.06408939830417898,"Phylogenomics, taxonomy and evolutionary relationships",Phylogenomics/taxonomy,T1. Phylogenomics/taxonomy,"T1. Phylogenomics, taxonomy and evolutionary relationships",Evolutionary relationships and taxonomy
Indo-Australasian,2,0.1841859883947067,0.004282048470544958,63,0.1313899717710354,0.05279601662367131,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis
Indo-Australasian,3,0.08291759239696739,0.006083521369463765,63,0.09527813356855613,-0.012360541171588746,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA
Indo-Australasian,4,0.15788235865706185,0.00893445492376998,63,0.1573484606382439,5.338980188179521e-4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics
Indo-Australasian,5,0.01657912803808118,3.289946039369081e-4,63,0.039658486244210575,-0.023079358206129396,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics
Indo-Australasian,6,0.21972071842921026,0.01675257696911341,63,0.18151814687453702,0.03820257155467324,mtDNA/COI marker assays and DNA barcoding,mtDNA/COI markers,T6. mtDNA/COI markers,T6. mtDNA/COI marker assays and DNA barcoding,"Marker assays, barcoding and molecular identification"
Indo-Australasian,7,0.1223843171036122,0.005813684168158144,63,0.08978089956285627,0.03260341754075592,"Population genetics, microsatellites and morphometrics",Population genetics,T7. Population genetics,"T7. Population genetics, microsatellites and morphometrics",Population structure and phenotypic differentiation
Indo-Australasian,8,0.04475656888476035,0.0011396322915074404,63,0.05182393044806561,-0.007067361563305258,"Gene expression, caste differentiation and reproductive genetics",Expression/caste,T8. Expression/caste,"T8. Gene expression, caste differentiation and reproductive genetics",Functional and reproductive genomics
Indo-Australasian,9,0.09233189780914978,0.0024943282200428104,63,0.07686128858316266,0.015470609225987128,"Gut microbiome, detoxification and exposure responses",Microbiome/exposure,T9. Microbiome/exposure,"T9. Gut microbiome, detoxification and exposure responses",Microbiome and environmental stress
Indo-Australasian,10,0.015010724557777907,9.950585854988808e-4,63,0.04802057827648113,-0.03300985371870323,"Allozyme, RAPD and enzyme polymorphism markers",Allozyme/RAPD markers,T10. Allozyme/RAPD markers,"T10. Allozyme, RAPD and enzyme polymorphism markers",Classical marker-based genetics
Afrotropical,1,0.10005683158873228,0.002952896318765427,8,0.12832010403285135,-0.028263272444119067,"Phylogenomics, taxonomy and evolutionary relationships",Phylogenomics/taxonomy,T1. Phylogenomics/taxonomy,"T1. Phylogenomics, taxonomy and evolutionary relationships",Evolutionary relationships and taxonomy
Afrotropical,2,5.794965952038363e-4,4.22824182259591e-4,8,0.1313899717710354,-0.13081047517583155,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis
Afrotropical,3,0.27351413187145557,0.026312925435831427,8,0.09527813356855613,0.17823599830289943,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA
Afrotropical,4,0.12201930298271162,0.0020019404402647576,8,0.1573484606382439,-0.03532915765553228,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics
Afrotropical,5,6.44747782785814e-4,1.7900621301932397e-4,8,0.039658486244210575,-0.03901373846142476,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics
Afrotropical,6,0.3533165676470621,0.10776828676391172,8,0.18151814687453702,0.17179842077252508,mtDNA/COI marker assays and DNA barcoding,mtDNA/COI markers,T6. mtDNA/COI markers,T6. mtDNA/COI marker assays and DNA barcoding,"Marker assays, barcoding and molecular identification"
Afrotropical,7,0.025925296385503414,0.0024642987448924942,8,0.08978089956285627,-0.06385560317735287,"Population genetics, microsatellites and morphometrics",Population genetics,T7. Population genetics,"T7. Population genetics, microsatellites and morphometrics",Population structure and phenotypic differentiation
Afrotropical,8,5.04752210168189e-4,5.129822251446735e-4,8,0.05182393044806561,-0.051319178237897424,"Gene expression, caste differentiation and reproductive genetics",Expression/caste,T8. Expression/caste,"T8. Gene expression, caste differentiation and reproductive genetics",Functional and reproductive genomics
Afrotropical,9,0.12223004501451444,0.0011470742985644172,8,0.07686128858316266,0.045368756431351784,"Gut microbiome, detoxification and exposure responses",Microbiome/exposure,T9. Microbiome/exposure,"T9. Gut microbiome, detoxification and exposure responses",Microbiome and environmental stress
Afrotropical,10,0.0012088279218629339,2.7349095071147334e-4,8,0.04802057827648113,-0.046811750354618195,"Allozyme, RAPD and enzyme polymorphism markers",Allozyme/RAPD markers,T10. Allozyme/RAPD markers,"T10. Allozyme, RAPD and enzyme polymorphism markers",Classical marker-based genetics
Multi-region,1,0.2805572384611031,0.014919007147913343,11,0.12832010403285135,0.15223713442825174,"Phylogenomics, taxonomy and evolutionary relationships",Phylogenomics/taxonomy,T1. Phylogenomics/taxonomy,"T1. Phylogenomics, taxonomy and evolutionary relationships",Evolutionary relationships and taxonomy
Multi-region,2,0.09585764674743469,0.0019521028683017812,11,0.1313899717710354,-0.03553232502360071,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis
Multi-region,3,0.011933208582659631,9.673502531440017e-4,11,0.09527813356855613,-0.0833449249858965,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA
Multi-region,4,0.3555462048934451,0.04315508258819219,11,0.1573484606382439,0.19819774425520117,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics
Multi-region,5,0.011440089647842024,0.00121804114190501,11,0.039658486244210575,-0.02821839659636855,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics
Multi-region,6,0.031437600411081935,0.003949256222380848,11,0.18151814687453702,-0.1500805464634551,mtDNA/COI marker assays and DNA barcoding,mtDNA/COI markers,T6. mtDNA/COI markers,T6. mtDNA/COI marker assays and DNA barcoding,"Marker assays, barcoding and molecular identification"
Multi-region,7,0.030073743842798244,0.00370026116055992,11,0.08978089956285627,-0.059707155720058025,"Population genetics, microsatellites and morphometrics",Population genetics,T7. Population genetics,"T7. Population genetics, microsatellites and morphometrics",Population structure and phenotypic differentiation
Multi-region,8,0.0031216004140795844,9.893175537453573e-4,11,0.05182393044806561,-0.048702330033986024,"Gene expression, caste differentiation and reproductive genetics",Expression/caste,T8. Expression/caste,"T8. Gene expression, caste differentiation and reproductive genetics",Functional and reproductive genomics
Multi-region,9,0.0664772643424241,7.692218557075984e-4,11,0.07686128858316266,-0.01038402424073856,"Gut microbiome, detoxification and exposure responses",Microbiome/exposure,T9. Microbiome/exposure,"T9. Gut microbiome, detoxification and exposure responses",Microbiome and environmental stress
