doc_index,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,doc_id,article_id,title,year,source_database,genus_raw,genus_for_stm,mentioned_genera,region_for_stm,subtribe_for_stm,article_region_assignment,article_subtribe_assignment,studied_genera,n_studied_genera,journal,doi
1,0.14271841197693327,0.0024235902924246854,0.004683352915361904,0.2501759351069663,0.018645026809528755,0.563069558611001,0.011086145909072441,0.0034646287116469232,9.09525828827813e-4,0.002823823838237226,1,1,"Nuclear mitochondrial DNA: An Achilles' heel of molecular systematics, phylogenetics, and phylogeographic studies of stingless bees",2012,Scopus,Melipona,Melipona,Melipona,Neotropical,Meliponina,Neotropical,Meliponina,Melipona,1,APIDOLOGIE,10.1007/s13592-012-0122-4
2,0.001340084506063539,0.002511169277751263,0.9827354791342211,7.005350099495398e-4,2.9715160254475427e-5,0.0029927780813721262,0.0038781960931112114,0.0026006592453114634,0.0027630734682232744,4.483100237423261e-4,2,2,"Detection, replication and quantification of deformed wing virus-A, deformed wing virus-B, and black queen cell virus in the endemic stingless bee, Melipona colimana, from Jalisco, Mexico",2021,Scopus,Melipona,Melipona,Melipona,Neotropical,Meliponina,Neotropical,Meliponina,Melipona,1,INTERNATIONAL JOURNAL OF TROPICAL INSECT SCIENCE,10.1007/s42690-020-00320-7
3,0.19406872363771016,7.390224688170952e-6,0.00213632123701956,9.330210922208264e-4,0.002267546974086211,0.0073898739628965185,0.7780091062525907,0.012122552161146515,4.464111151210631e-4,0.002619053342520596,3,3,"Pleistocene climate changes shaped the population structure of Partamona seridoensis (Apidae, Meliponini), an endemic stingless bee from the Neotropical dry forest",2017,Scopus,Partamona,Partamona,Partamona,Neotropical,Meliponina,Neotropical,Meliponina,Partamona,1,PLOS ONE,10.1371/journal.pone.0175725
4,0.0031679428491962723,7.222301069166159e-4,0.004885303476020994,0.0025602695669581722,0.003392211121216992,0.5993908280170225,0.09774273231060057,0.002609920457040919,0.0012746998018798232,0.28425386229314725,4,4,Mitochondrial DNA polymorphism among populations of melipona quadrifasciata quadrifasciata lepeletier (Apidae: Meliponini) from Southern Brazil; [Polimorfi smo do DNA mitocondrial entre populações de melipona quadrifasciata quadrifasciata Lepeletier (Apidae: Meliponini) do Sul do Brasil],2009,Scopus,Melipona,Melipona,Melipona,Neotropical,Meliponina,Neotropical,Meliponina,Melipona,1,NEOTROPICAL ENTOMOLOGY,10.1590/s1519-566x2009000200007
5,0.0021996785185822375,0.5621068242376235,0.4040377045645762,0.0033038808718769412,6.538191669031215e-4,0.005417449461543784,4.772452066881056e-4,0.006147839379715347,0.013807340271052631,0.001848218321438336,5,5,"Honey characterization and identification of fructophilic lactic acid bacteria of fresh samples from Melipona beecheii, Scaptotrigona pectoralis, Plebeia llorentei, and Plebeia jatiformis hives",2023,Scopus,Multiple,Multiple,Melipona; Plebeia; Scaptotrigona,Neotropical,Meliponina,Neotropical,Meliponina,Melipona; Plebeia; Scaptotrigona,3,FRONTIERS IN SUSTAINABLE FOOD SYSTEMS,10.3389/fsufs.2023.1113920
6,0.012498547373581434,0.0026636624702514673,0.012594267667928231,0.008580970460793895,4.2391776511918215e-4,0.7984427816278251,0.10291489766048625,0.0011396322915074404,0.04989088011877467,0.010850442563732177,6,6,"Stingless bees (Hymenoptera: Apidae) in South and West Sulawesi, Indonesia: morphology, nest structure, and molecular characteristics",2021,Scopus,Multiple,Multiple,Lepidotrigona; Tetragonula; Wallacetrigona,Indo-Australasian,Hypotrigonina,Indo-Australasian,Hypotrigonina,Lepidotrigona; Tetragonula; Wallacetrigona,3,JOURNAL OF APICULTURAL RESEARCH,10.1080/00218839.2020.1816272
7,0.0056920528600154525,0.010589674955594241,0.33006179749593023,0.05880309864820342,3.9450283611481925e-5,0.5742727915532222,0.014994318966596297,0.0011783226885042344,0.0031244445179523486,0.0012440480303700873,7,7,TAXONOMIC STATUS OF STINGLESS BEE LEPIDOTRIGONA ARCIFERA (HYMENOPTERA: MELIPONINI) FROM THE SOUTHWEST CHINA - TIBETAN PLATEAU,2024,Scopus,Lepidotrigona,Other_rare_genera,Lepidotrigona,Indo-Australasian,Hypotrigonina,Indo-Australasian,Hypotrigonina,Lepidotrigona,1,JOURNAL OF APICULTURAL SCIENCE,10.2478/jas-2024-0008
8,0.43210882643554627,2.613488024390234e-4,0.004654541766784695,0.027184473777980164,0.0017803931500443408,0.012134821424254844,0.3896379148561905,0.12950463109138272,0.0016375378633638527,0.0010955108320139207,8,8,"Gene Flow Between Populations With Highly Divergent Mitogenomes in the Australian Stingless Bee, Tetragonula hockingsi",2024,Scopus,Tetragonula,Tetragonula,Tetragonula,Indo-Australasian,Hypotrigonina,Indo-Australasian,Hypotrigonina,Tetragonula,1,ECOLOGY AND EVOLUTION,10.1002/ece3.70475
9,0.006685794939798599,4.1849453885745187e-4,2.154119928444633e-4,0.0042109152232577985,0.9771164946788137,0.0025431981779986865,0.0020703453386911336,0.002091814283544714,6.965860816239565e-4,0.003950944744570051,9,9,Repetitive DNAs in Melipona scutellaris (Hymenoptera: Apidae: Meliponidae): chromosomal distribution and test of multiple heterochromatin amplification in the genus,2018,Scopus,Melipona,Melipona,Melipona,Neotropical,Meliponina,Neotropical,Meliponina,Melipona,1,APIDOLOGIE,10.1007/s13592-018-0577-z
10,0.0032373209967361,4.6732276953020225e-4,1.5285523383202088e-4,0.0015286503649866022,0.9773858019740983,0.0022674421247135786,0.0019351750621344457,0.0016394762437639432,7.630030912406957e-4,0.010622952138964492,10,10,Comparative molecular cytogenetics of Melipona Illiger species (Hymenoptera: Apidae),2018,Scopus,Melipona,Melipona,Melipona,Neotropical,Meliponina,Neotropical,Meliponina,Melipona,1,SOCIOBIOLOGY,10.13102/sociobiology.v65i4.3480
