frontier_rank,topic,short_label,recent_mean_prevalence,recent_slope,current_prevalence,current_year
1,4,T4: mitogenome / rearrangement / heteroplasmy,0.13464095994701913,0.03266706796820532,0.19888244621969528,2026
2,1,T1: clades / ecology / taxonomy,0.11325846940512298,0.03194275298070257,0.21546673557338558,2026
3,6,T6: numts / restriction / coi,0.09671924709628373,0.002758806760761295,0.0918253199267565,2026
4,8,T8: queens / caste / sex,0.06483827879738707,0.0012655390335729372,0.06453373370850228,2026
5,3,T3: production / virus / viruses,0.1228781991254789,5.967918482883905e-4,0.09185778808959805,2026
6,5,T5: karyotype / cytogenetic / cytogenetics,0.076198222703838,-0.001630596625239132,0.08604538801830913,2026
7,10,T10: dehydrogenase / subspecies / polymorphic,0.008587769590540414,-0.0027657462953343363,0.001534091565084422,2026
8,9,T9: microbiome / detoxification / exposure,0.1286598664463987,-0.009394639905045802,0.1224787219561683,2026
9,2,T2: lactic / lab / probiotic,0.14807475290259167,-0.023412456894494792,0.12223535069787236,2026
10,7,T7: population / populations / microsatellite,0.10614423398533936,-0.03202751887141646,0.005140424244628009,2026
