genus_for_stm,topic,mean_prevalence,n_documents,topic_mean,prevalence_lift,short_label
Frieseomelitta,1,0.1937034124621274,8,0.11421231513479953,0.07949109732732788,T1: clades / ecology / taxonomy
Frieseomelitta,2,0.0013050069220930307,8,0.07241076790995458,-0.07110576098786156,T2: lactic / lab / probiotic
Frieseomelitta,3,0.011544906524486424,8,0.0657164603302209,-0.054171553805734476,T3: production / virus / viruses
Frieseomelitta,4,0.0029442944177944692,8,0.06188316128342289,-0.05893886686562842,T4: mitogenome / rearrangement / heteroplasmy
Frieseomelitta,5,0.28898052473695296,8,0.13520485681215746,0.1537756679247955,T5: karyotype / cytogenetic / cytogenetics
Frieseomelitta,6,0.01293183627003977,8,0.10226106699160106,-0.08932923072156129,T6: numts / restriction / coi
Frieseomelitta,7,0.08224875169400811,8,0.20744113638324962,-0.12519238468924151,T7: population / populations / microsatellite
Frieseomelitta,8,0.22135619735046747,8,0.08411383596680397,0.1372423613836635,T8: queens / caste / sex
Frieseomelitta,9,0.15549021171850083,8,0.06341463627037922,0.09207557544812162,T9: microbiome / detoxification / exposure
Frieseomelitta,10,0.02949485790352957,8,0.09334176291741081,-0.06384690501388124,T10: dehydrogenase / subspecies / polymorphic
Heterotrigona,1,0.019943243687338578,14,0.11421231513479953,-0.09426907144746095,T1: clades / ecology / taxonomy
Heterotrigona,2,0.3709378312457592,14,0.07241076790995458,0.2985270633358046,T2: lactic / lab / probiotic
Heterotrigona,3,0.19011047780105786,14,0.0657164603302209,0.12439401747083696,T3: production / virus / viruses
Heterotrigona,4,0.16697631547950398,14,0.06188316128342289,0.10509315419608109,T4: mitogenome / rearrangement / heteroplasmy
Heterotrigona,5,2.2224234227624306e-4,14,0.13520485681215746,-0.13498261446988122,T5: karyotype / cytogenetic / cytogenetics
Heterotrigona,6,0.1103568596313301,14,0.10226106699160106,0.008095792639729038,T6: numts / restriction / coi
Heterotrigona,7,0.09152834245081885,14,0.20744113638324962,-0.11591279393243077,T7: population / populations / microsatellite
Heterotrigona,8,0.04505790533330725,14,0.08411383596680397,-0.039055930633496716,T8: queens / caste / sex
Heterotrigona,9,0.003355168762039893,14,0.06341463627037922,-0.06005946750833932,T9: microbiome / detoxification / exposure
Heterotrigona,10,0.001511613266568059,14,0.09334176291741081,-0.09183014965084275,T10: dehydrogenase / subspecies / polymorphic
Melipona,1,0.05513384183666122,138,0.11421231513479953,-0.059078473298138305,T1: clades / ecology / taxonomy
Melipona,2,0.03413470205586732,138,0.07241076790995458,-0.038276065854087264,T2: lactic / lab / probiotic
Melipona,3,0.0709312768581499,138,0.0657164603302209,0.005214816527929003,T3: production / virus / viruses
Melipona,4,0.06582274522821675,138,0.06188316128342289,0.003939583944793865,T4: mitogenome / rearrangement / heteroplasmy
Melipona,5,0.12653649038091816,138,0.13520485681215746,-0.008668366431239305,T5: karyotype / cytogenetic / cytogenetics
Melipona,6,0.10544835324053449,138,0.10226106699160106,0.003187286248933427,T6: numts / restriction / coi
Melipona,7,0.1959521874468606,138,0.20744113638324962,-0.01148894893638902,T7: population / populations / microsatellite
Melipona,8,0.1839419584475897,138,0.08411383596680397,0.09982812248078574,T8: queens / caste / sex
Melipona,9,0.08904978071609239,138,0.06341463627037922,0.025635144445713173,T9: microbiome / detoxification / exposure
Melipona,10,0.07304866378910942,138,0.09334176291741081,-0.020293099128301392,T10: dehydrogenase / subspecies / polymorphic
Multiple,1,0.07211872516918906,90,0.11421231513479953,-0.04209358996561047,T1: clades / ecology / taxonomy
Multiple,2,0.14430707233492002,90,0.07241076790995458,0.07189630442496543,T2: lactic / lab / probiotic
Multiple,3,0.0971990561708699,90,0.0657164603302209,0.031482595840649,T3: production / virus / viruses
Multiple,4,0.10736481889329803,90,0.06188316128342289,0.045481657609875145,T4: mitogenome / rearrangement / heteroplasmy
Multiple,5,0.06420571911915621,90,0.13520485681215746,-0.07099913769300126,T5: karyotype / cytogenetic / cytogenetics
Multiple,6,0.1834262522373183,90,0.10226106699160106,0.08116518524571723,T6: numts / restriction / coi
Multiple,7,0.07865470096455768,90,0.20744113638324962,-0.12878643541869195,T7: population / populations / microsatellite
Multiple,8,0.09164974250397634,90,0.08411383596680397,0.007535906537172371,T8: queens / caste / sex
Multiple,9,0.07590241565473173,90,0.06341463627037922,0.012487779384352513,T9: microbiome / detoxification / exposure
Multiple,10,0.08517149695198271,90,0.09334176291741081,-0.008170265965428095,T10: dehydrogenase / subspecies / polymorphic
Other_rare_genera,1,0.05822483450443534,23,0.11421231513479953,-0.05598748063036419,T1: clades / ecology / taxonomy
Other_rare_genera,2,0.05067576683805355,23,0.07241076790995458,-0.021735001071901038,T2: lactic / lab / probiotic
Other_rare_genera,3,0.03675573956070091,23,0.0657164603302209,-0.028960720769519985,T3: production / virus / viruses
Other_rare_genera,4,0.10096162848957016,23,0.06188316128342289,0.03907846720614727,T4: mitogenome / rearrangement / heteroplasmy
Other_rare_genera,5,0.17456710768596528,23,0.13520485681215746,0.03936225087380782,T5: karyotype / cytogenetic / cytogenetics
Other_rare_genera,6,0.20074732114112048,23,0.10226106699160106,0.09848625414951942,T6: numts / restriction / coi
Other_rare_genera,7,0.26396249185009846,23,0.20744113638324962,0.05652135546684883,T7: population / populations / microsatellite
Other_rare_genera,8,0.011223714558155497,23,0.08411383596680397,-0.07289012140864848,T8: queens / caste / sex
Other_rare_genera,9,0.042395890117719916,23,0.06341463627037922,-0.0210187461526593,T9: microbiome / detoxification / exposure
Other_rare_genera,10,0.06048550525418053,23,0.09334176291741081,-0.032856257663230276,T10: dehydrogenase / subspecies / polymorphic
Partamona,1,0.07235690425603777,29,0.11421231513479953,-0.041855410878761753,T1: clades / ecology / taxonomy
Partamona,2,7.085981944365066e-4,29,0.07241076790995458,-0.07170216971551807,T2: lactic / lab / probiotic
