topic,semantic_coherence,exclusivity,short_label
1,-99.54390934723824,10.862626849059177,T1: clades / ecology / taxonomy
2,-80.30881873387526,11.704153799119739,T2: lactic / lab / probiotic
3,-168.4157398959445,11.73242496678509,T3: production / virus / viruses
4,-76.38577850092157,11.285333278393344,T4: mitogenome / rearrangement / heteroplasmy
5,-79.5922819092728,11.33613793458901,T5: karyotype / cytogenetic / cytogenetics
6,-105.13259221943476,11.088105310409487,T6: numts / restriction / coi
7,-72.30810176758726,11.183196914865519,T7: population / populations / microsatellite
8,-98.4196802614648,11.507046980078764,T8: queens / caste / sex
9,-119.9035173997912,11.29128927555469,T9: microbiome / detoxification / exposure
10,-121.4937617926015,11.567287174955466,T10: dehydrogenase / subspecies / polymorphic
