year,topic,mean_prevalence,n_documents,short_label,prevalence_smooth
1950,1,0.00324749712665835,2,T1: clades / ecology / taxonomy,0.00324749712665835
1951,1,0,0,T1: clades / ecology / taxonomy,0.00108249904221945
1952,1,0,0,T1: clades / ecology / taxonomy,0
1953,1,0,0,T1: clades / ecology / taxonomy,0
1954,1,0,0,T1: clades / ecology / taxonomy,0
1955,1,0,0,T1: clades / ecology / taxonomy,0
1956,1,0,0,T1: clades / ecology / taxonomy,0
1957,1,0,0,T1: clades / ecology / taxonomy,0
1958,1,0,0,T1: clades / ecology / taxonomy,0
1959,1,0,0,T1: clades / ecology / taxonomy,0
1960,1,0,0,T1: clades / ecology / taxonomy,0
1961,1,0,0,T1: clades / ecology / taxonomy,0
1962,1,0,0,T1: clades / ecology / taxonomy,0
1963,1,0,0,T1: clades / ecology / taxonomy,0
1964,1,0,0,T1: clades / ecology / taxonomy,0
1965,1,0,0,T1: clades / ecology / taxonomy,0.0023667828702064056
1966,1,0.007100348610619217,1,T1: clades / ecology / taxonomy,0.0023667828702064056
1967,1,0,0,T1: clades / ecology / taxonomy,0.0023667828702064056
1968,1,0,0,T1: clades / ecology / taxonomy,0.003851538177011441
1969,1,0.011554614531034324,3,T1: clades / ecology / taxonomy,0.006505676575601598
1970,1,0.007962415195770471,1,T1: clades / ecology / taxonomy,0.006505676575601598
1971,1,0,0,T1: clades / ecology / taxonomy,0.02322277106857999
1972,1,0.06170589800996949,2,T1: clades / ecology / taxonomy,0.02056863266998983
1973,1,0,0,T1: clades / ecology / taxonomy,0.02141990808658234
1974,1,0.002553826249777532,1,T1: clades / ecology / taxonomy,0.006195593257738625
1975,1,0.016032953523438344,2,T1: clades / ecology / taxonomy,0.007651704123324313
1976,1,0.004368332596757063,1,T1: clades / ecology / taxonomy,0.006800428706731802
1977,1,0,0,T1: clades / ecology / taxonomy,0.0014561108655856876
1978,1,0,0,T1: clades / ecology / taxonomy,0.028278837871134277
1979,1,0.08483651361340283,2,T1: clades / ecology / taxonomy,0.028278837871134277
1980,1,0,0,T1: clades / ecology / taxonomy,0.028278837871134277
1981,1,0,0,T1: clades / ecology / taxonomy,0
1982,1,0,0,T1: clades / ecology / taxonomy,0.09342726588866679
1983,1,0.28028179766600037,2,T1: clades / ecology / taxonomy,0.0949103089247431
1984,1,0.0044491291082289575,1,T1: clades / ecology / taxonomy,0.0949103089247431
1985,1,0,0,T1: clades / ecology / taxonomy,0.0027340668813733027
1986,1,0.003753071535890951,3,T1: clades / ecology / taxonomy,0.004233927563236514
1987,1,0.008948711153818591,3,T1: clades / ecology / taxonomy,0.009631630815815874
1988,1,0.016193109757738078,1,T1: clades / ecology / taxonomy,0.008530913570598965
1989,1,4.5091980024022807e-4,1,T1: clades / ecology / taxonomy,0.005579110203029828
1990,1,9.330105111118047e-5,1,T1: clades / ecology / taxonomy,2.2229818037286425e-4
1991,1,1.2267368976718422e-4,4,T1: clades / ecology / taxonomy,0.003944358536079645
1992,1,0.011617100867360572,3,T1: clades / ecology / taxonomy,0.003913258185709252
1993,1,0,0,T1: clades / ecology / taxonomy,0.005146572856604904
1994,1,0.0038226177024541395,2,T1: clades / ecology / taxonomy,0.0021717264295517302
1995,1,0.002692561586201052,4,T1: clades / ecology / taxonomy,0.0021717264295517302
1996,1,0,0,T1: clades / ecology / taxonomy,0.002981064293833526
1997,1,0.006250631295299526,2,T1: clades / ecology / taxonomy,0.006444054271644128
1998,1,0.013081531519632858,2,T1: clades / ecology / taxonomy,0.013373729362912389
1999,1,0.020789025273804784,2,T1: clades / ecology / taxonomy,0.011825325205024632
2000,1,0.001605418821636254,3,T1: clades / ecology / taxonomy,0.020024859125480497
2001,1,0.03768013328100045,3,T1: clades / ecology / taxonomy,0.014975945155058793
2002,1,0.005642283362539675,3,T1: clades / ecology / taxonomy,0.10748397340155635
2003,1,0.2791295035611289,3,T1: clades / ecology / taxonomy,0.11165651774484668
2004,1,0.05019776631087144,6,T1: clades / ecology / taxonomy,0.11763899848243997
2005,1,0.02358972557531958,7,T1: clades / ecology / taxonomy,0.04967054098006645
2006,1,0.07522413105400834,9,T1: clades / ecology / taxonomy,0.08110866568852042
2007,1,0.14451214043623337,8,T1: clades / ecology / taxonomy,0.1134140115548684
2008,1,0.12050576317436351,9,T1: clades / ecology / taxonomy,0.10722938609347694
2009,1,0.056670254669833976,15,T1: clades / ecology / taxonomy,0.12648454899904
2010,1,0.20227762915292252,17,T1: clades / ecology / taxonomy,0.09112136419373565
2011,1,0.014416208758450446,11,T1: clades / ecology / taxonomy,0.09500927079853673
2012,1,0.06833397448423725,13,T1: clades / ecology / taxonomy,0.05766597256499012
2013,1,0.09024773445228267,15,T1: clades / ecology / taxonomy,0.07772244004192559
2014,1,0.07458561118925687,16,T1: clades / ecology / taxonomy,0.05604713790899238
2015,1,0.0033080680854376144,5,T1: clades / ecology / taxonomy,0.04258274185151688
2016,1,0.04985454627985616,10,T1: clades / ecology / taxonomy,0.040178285357746556
2017,1,0.0673722417079459,12,T1: clades / ecology / taxonomy,0.047793531923240956
2018,1,0.026153807781920814,16,T1: clades / ecology / taxonomy,0.04177597645214693
2019,1,0.03180187986657409,16,T1: clades / ecology / taxonomy,0.03640649328846009
2020,1,0.051263792216885366,16,T1: clades / ecology / taxonomy,0.0531904490703011
2021,1,0.07650567512744384,26,T1: clades / ecology / taxonomy,0.07015291976390906
2022,1,0.08268929194739798,23,T1: clades / ecology / taxonomy,0.07188706431981255
2023,1,0.05646622588459586,31,T1: clades / ecology / taxonomy,0.0801622476708548
2024,1,0.10133122518057056,21,T1: clades / ecology / taxonomy,0.0893787731682771
2025,1,0.11033886843966491,39,T1: clades / ecology / taxonomy,0.14237894306454035
2026,1,0.21546673557338558,11,T1: clades / ecology / taxonomy,0.21546673557338558
1950,2,0.0022903985459628573,2,T2: lactic / lab / probiotic,0.0022903985459628573
1951,2,0,0,T2: lactic / lab / probiotic,7.634661819876191e-4
1952,2,0,0,T2: lactic / lab / probiotic,0
1953,2,0,0,T2: lactic / lab / probiotic,0
1954,2,0,0,T2: lactic / lab / probiotic,0
1955,2,0,0,T2: lactic / lab / probiotic,0
1956,2,0,0,T2: lactic / lab / probiotic,0
1957,2,0,0,T2: lactic / lab / probiotic,0
1958,2,0,0,T2: lactic / lab / probiotic,0
1959,2,0,0,T2: lactic / lab / probiotic,0
1960,2,0,0,T2: lactic / lab / probiotic,0
1961,2,0,0,T2: lactic / lab / probiotic,0
1962,2,0,0,T2: lactic / lab / probiotic,0
1963,2,0,0,T2: lactic / lab / probiotic,0
1964,2,0,0,T2: lactic / lab / probiotic,0
1965,2,0,0,T2: lactic / lab / probiotic,0.0036685784122392033
1966,2,0.01100573523671761,1,T2: lactic / lab / probiotic,0.0036685784122392033
1967,2,0,0,T2: lactic / lab / probiotic,0.0036685784122392033
1968,2,0,0,T2: lactic / lab / probiotic,0.029981478920371403
1969,2,0.08994443676111422,3,T2: lactic / lab / probiotic,0.148871605444532
1970,2,0.3566703795724819,1,T2: lactic / lab / probiotic,0.148871605444532
1971,2,0,0,T2: lactic / lab / probiotic,0.15980179280717033
1972,2,0.12273499884902911,2,T2: lactic / lab / probiotic,0.0409116662830097
1973,2,0,0,T2: lactic / lab / probiotic,0.041113473527441435
