covariate_level,topic,mean_prevalence,median_prevalence,n_documents,topic_mean,prevalence_lift,article_label,short_label_article,compact_label,plot_label,broader_theme
Meliponina,7,0.20987183977179885,0.01418733447865809,313,0.15987254803225642,0.04999929173954243,"Population genetics, microsatellites and morphometrics",Population genetics,T7. Population genetics,"T7. Population genetics, microsatellites and morphometrics",Population structure and phenotypic differentiation
Meliponina,5,0.16649255256756185,0.0034375205482378057,313,0.09029641884277315,0.0761961337247887,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics
Meliponina,8,0.13526771220848377,0.00519660851363783,313,0.08673627540434481,0.04853143680413896,"Gene expression, caste differentiation and reproductive genetics",Expression/caste,T8. Expression/caste,"T8. Gene expression, caste differentiation and reproductive genetics",Functional and reproductive genomics
Meliponina,10,0.10775580778488689,0.009762094973090652,313,0.060211299546056835,0.04754450823883005,"Allozyme, RAPD and enzyme polymorphism markers",Allozyme/RAPD markers,T10. Allozyme/RAPD markers,"T10. Allozyme, RAPD and enzyme polymorphism markers",Classical marker-based genetics
Meliponina,6,0.09900030713302747,0.009818315964713465,313,0.177331691651649,-0.07833138451862152,mtDNA/COI marker assays and DNA barcoding,mtDNA/COI markers,T6. mtDNA/COI markers,T6. mtDNA/COI marker assays and DNA barcoding,"Marker assays, barcoding and molecular identification"
Hypotrigonina,6,0.2556630761702705,0.02794798086123822,74,0.177331691651649,0.07833138451862151,mtDNA/COI marker assays and DNA barcoding,mtDNA/COI markers,T6. mtDNA/COI markers,T6. mtDNA/COI marker assays and DNA barcoding,"Marker assays, barcoding and molecular identification"
Hypotrigonina,2,0.16247573216806238,0.004349440148458447,74,0.10101483839291213,0.06146089377515025,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis
Hypotrigonina,4,0.15007275166556838,0.008194281478609688,74,0.09700504337316421,0.053067708292404175,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics
Hypotrigonina,7,0.109873256292714,0.005879076197754486,74,0.15987254803225642,-0.04999929173954243,"Population genetics, microsatellites and morphometrics",Population genetics,T7. Population genetics,"T7. Population genetics, microsatellites and morphometrics",Population structure and phenotypic differentiation
Hypotrigonina,3,0.10101101118912265,0.008362906814692714,74,0.0838869634006641,0.017124047788458552,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA
