covariate_level,topic,mean_prevalence,median_prevalence,n_documents,topic_mean,prevalence_lift,article_label,short_label_article,compact_label,plot_label,broader_theme
Meliponina,1,0.06704015622645207,0.005497694160313907,313,0.1435008982818886,-0.07646074205543654,"Phylogenomics, taxonomy and evolutionary relationships",Phylogenomics/taxonomy,T1. Phylogenomics/taxonomy,"T1. Phylogenomics, taxonomy and evolutionary relationships",Evolutionary relationships and taxonomy
Meliponina,2,0.03955394461776187,6.200187917259507e-4,313,0.1719384929691194,-0.13238454835135752,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis
Meliponina,3,0.06676291561220553,0.0034643822398393834,313,0.05759302839011447,0.009169887222091055,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA
Meliponina,4,0.04393733508076004,0.0019725813647980157,313,0.16662840898348605,-0.12269107390272602,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics
Meliponina,5,0.16649255256756185,0.0034375205482378057,313,0.048914490295072555,0.11757806227248929,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics
Meliponina,6,0.09900030713302747,0.009818315964713465,313,0.11058499356679913,-0.011584686433771654,mtDNA/COI marker assays and DNA barcoding,mtDNA/COI markers,T6. mtDNA/COI markers,T6. mtDNA/COI marker assays and DNA barcoding,"Marker assays, barcoding and molecular identification"
Meliponina,7,0.20987183977179885,0.01418733447865809,313,0.10656539127538367,0.10330644849641518,"Population genetics, microsatellites and morphometrics",Population genetics,T7. Population genetics,"T7. Population genetics, microsatellites and morphometrics",Population structure and phenotypic differentiation
Meliponina,8,0.13526771220848377,0.00519660851363783,313,0.06762619737584778,0.06764151483263599,"Gene expression, caste differentiation and reproductive genetics",Expression/caste,T8. Expression/caste,"T8. Gene expression, caste differentiation and reproductive genetics",Functional and reproductive genomics
Meliponina,9,0.06431742899706165,0.0015328453225612953,313,0.06731885264972194,-0.00300142365266029,"Gut microbiome, detoxification and exposure responses",Microbiome/exposure,T9. Microbiome/exposure,"T9. Gut microbiome, detoxification and exposure responses",Microbiome and environmental stress
Meliponina,10,0.10775580778488689,0.009762094973090652,313,0.0593292462125664,0.04842656157232049,"Allozyme, RAPD and enzyme polymorphism markers",Allozyme/RAPD markers,T10. Allozyme/RAPD markers,"T10. Allozyme, RAPD and enzyme polymorphism markers",Classical marker-based genetics
