doc_index,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,doc_id,article_id,title,year,source_database,genus_raw,genus_for_stm,mentioned_genera,region_for_stm,subtribe_for_stm,article_region_assignment,article_subtribe_assignment,studied_genera,n_studied_genera,journal,doi
1,0.1412984071906188,0.002405815232018305,0.004768209863196922,0.24677920950282559,0.01885574578569195,0.5675696008205915,0.011073957183982614,0.003615246621053788,8.597928967261612e-4,0.002774014903294039,1,1,"Nuclear mitochondrial DNA: An Achilles' heel of molecular systematics, phylogenetics, and phylogeographic studies of stingless bees",2012,Scopus,Melipona,Melipona,Melipona,Neotropical,Meliponina,Neotropical,Meliponina,Melipona,1,APIDOLOGIE,10.1007/s13592-012-0122-4
2,0.0013674992370331103,0.0021522530716879765,0.9831272491793319,6.725757373542683e-4,2.4523718573285027e-5,0.003066519754494109,0.0038185995154091782,0.002561620845987235,0.0027724240428741048,4.367348972548102e-4,2,2,"Detection, replication and quantification of deformed wing virus-A, deformed wing virus-B, and black queen cell virus in the endemic stingless bee, Melipona colimana, from Jalisco, Mexico",2021,Scopus,Melipona,Melipona,Melipona,Neotropical,Meliponina,Neotropical,Meliponina,Melipona,1,INTERNATIONAL JOURNAL OF TROPICAL INSECT SCIENCE,10.1007/s42690-020-00320-7
3,0.19422470281368054,5.257100662528851e-6,0.002260671035513002,9.725683400510244e-4,0.0022993346599253367,0.0077928782968230415,0.7766623836684386,0.01261960392424655,4.3675319598686157e-4,0.002725846964672401,3,3,"Pleistocene climate changes shaped the population structure of Partamona seridoensis (Apidae, Meliponini), an endemic stingless bee from the Neotropical dry forest",2017,Scopus,Partamona,Partamona,Partamona,Neotropical,Meliponina,Neotropical,Meliponina,Partamona,1,PLOS ONE,10.1371/journal.pone.0175725
4,0.003279054747864201,6.946781973338268e-4,0.005069420045744504,0.0025336450693648474,0.0033667595976207675,0.5977353767493725,0.09886420747546772,0.00271372312740167,0.001240046519544833,0.28450308847028516,4,4,Mitochondrial DNA polymorphism among populations of melipona quadrifasciata quadrifasciata lepeletier (Apidae: Meliponini) from Southern Brazil; [Polimorfi smo do DNA mitocondrial entre populações de melipona quadrifasciata quadrifasciata Lepeletier (Apidae: Meliponini) do Sul do Brasil],2009,Scopus,Melipona,Melipona,Melipona,Neotropical,Meliponina,Neotropical,Meliponina,Melipona,1,NEOTROPICAL ENTOMOLOGY,10.1590/s1519-566x2009000200007
5,0.002193796834744549,0.56104433670402,0.40466724157031764,0.003214112110700314,5.689303054801733e-4,0.005811144292949804,4.302641197345993e-4,0.006126600828841345,0.014179192035436147,0.00176438119777591,5,5,"Honey characterization and identification of fructophilic lactic acid bacteria of fresh samples from Melipona beecheii, Scaptotrigona pectoralis, Plebeia llorentei, and Plebeia jatiformis hives",2023,Scopus,Multiple,Multiple,Melipona; Plebeia; Scaptotrigona,Neotropical,Meliponina,Neotropical,Meliponina,Melipona; Plebeia; Scaptotrigona,3,FRONTIERS IN SUSTAINABLE FOOD SYSTEMS,10.3389/fsufs.2023.1113920
6,0.01176260358488884,0.0028232266908261453,0.012993208966457314,0.007788060841170739,3.8938717837148283e-4,0.8093924668477689,0.10533026410478787,0.0011220884267232596,0.03897042685746125,0.009428266501544302,6,6,"Stingless bees (Hymenoptera: Apidae) in South and West Sulawesi, Indonesia: morphology, nest structure, and molecular characteristics",2021,Scopus,Multiple,Multiple,Lepidotrigona; Tetragonula; Wallacetrigona,Indo-Australasian,Hypotrigonina,Indo-Australasian,Hypotrigonina,Lepidotrigona; Tetragonula; Wallacetrigona,3,JOURNAL OF APICULTURAL RESEARCH,10.1080/00218839.2020.1816272
7,0.005491210520788239,0.010175695330432399,0.3346557531243978,0.05288682575805397,2.7990312629804966e-5,0.5765825052226697,0.01534289696792992,0.001139035211143514,0.002845048213592433,8.530393383624077e-4,7,7,TAXONOMIC STATUS OF STINGLESS BEE LEPIDOTRIGONA ARCIFERA (HYMENOPTERA: MELIPONINI) FROM THE SOUTHWEST CHINA - TIBETAN PLATEAU,2024,Scopus,Lepidotrigona,Other_rare_genera,Lepidotrigona,Indo-Australasian,Hypotrigonina,Indo-Australasian,Hypotrigonina,Lepidotrigona,1,JOURNAL OF APICULTURAL SCIENCE,10.2478/jas-2024-0008
8,0.4320518742872531,2.1583150547938704e-4,0.004814825988068561,0.025942965863839606,0.001736823009375895,0.013561783493827688,0.3894029144150625,0.12972949841788214,0.0016325418639043848,9.109411553066248e-4,8,8,"Gene Flow Between Populations With Highly Divergent Mitogenomes in the Australian Stingless Bee, Tetragonula hockingsi",2024,Scopus,Tetragonula,Tetragonula,Tetragonula,Indo-Australasian,Hypotrigonina,Indo-Australasian,Hypotrigonina,Tetragonula,1,ECOLOGY AND EVOLUTION,10.1002/ece3.70475
9,0.006566925868265053,3.5531329606639477e-4,1.9255435096593408e-4,0.00402441724793366,0.9776153443473625,0.0024777144760721637,0.0020202134202259793,0.0020675990550455946,6.895887129542937e-4,0.00399032922510831,9,9,Repetitive DNAs in Melipona scutellaris (Hymenoptera: Apidae: Meliponidae): chromosomal distribution and test of multiple heterochromatin amplification in the genus,2018,Scopus,Melipona,Melipona,Melipona,Neotropical,Meliponina,Neotropical,Meliponina,Melipona,1,APIDOLOGIE,10.1007/s13592-018-0577-z
10,0.0032099604175553033,3.949294471312287e-4,1.3488102957732916e-4,0.0014669278950473908,0.9774762260960681,0.0022018411494194984,0.0019131921876786961,0.001624983013124002,7.494303803491645e-4,0.010827628384049607,10,10,Comparative molecular cytogenetics of Melipona Illiger species (Hymenoptera: Apidae),2018,Scopus,Melipona,Melipona,Melipona,Neotropical,Meliponina,Neotropical,Meliponina,Melipona,1,SOCIOBIOLOGY,10.13102/sociobiology.v65i4.3480
