genus_for_stm,topic,mean_prevalence,n_documents,topic_mean,prevalence_lift,short_label
Frieseomelitta,1,0.193923657543123,8,0.1142862054721723,0.07963745207095069,T1: clades / ecology / taxonomy
Frieseomelitta,2,0.0012186304267498387,8,0.07232196396572724,-0.0711033335389774,T2: lactic / lab / probiotic
Frieseomelitta,3,0.01163065961739229,8,0.06600597803727819,-0.054375318419885896,T3: production / virus / viruses
Frieseomelitta,4,0.0028447737321516064,8,0.06181878443137896,-0.05897401069922736,T4: mitogenome / rearrangement / heteroplasmy
Frieseomelitta,5,0.28896933610869,8,0.13518900070266085,0.15378033540602917,T5: karyotype / cytogenetic / cytogenetics
Frieseomelitta,6,0.012922225390228494,8,0.10152474099541377,-0.08860251560518527,T6: numts / restriction / coi
Frieseomelitta,7,0.08148533944574948,8,0.20797408892851396,-0.12648874948276448,T7: population / populations / microsatellite
Frieseomelitta,8,0.22054977905731243,8,0.08404370616554936,0.13650607289176309,T8: queens / caste / sex
Frieseomelitta,9,0.15628513068382946,8,0.06321806024125931,0.09306707044257015,T9: microbiome / detoxification / exposure
Frieseomelitta,10,0.030170467994773298,8,0.0936174710600461,-0.0634470030652728,T10: dehydrogenase / subspecies / polymorphic
Heterotrigona,1,0.01951640417225701,14,0.1142862054721723,-0.0947698012999153,T1: clades / ecology / taxonomy
Heterotrigona,2,0.369902083240895,14,0.07232196396572724,0.2975801192751678,T2: lactic / lab / probiotic
Heterotrigona,3,0.19129628510780572,14,0.06600597803727819,0.12529030707052752,T3: production / virus / viruses
Heterotrigona,4,0.16643564973788624,14,0.06181878443137896,0.10461686530650728,T4: mitogenome / rearrangement / heteroplasmy
Heterotrigona,5,1.8335107324314554e-4,14,0.13518900070266085,-0.13500564962941772,T5: karyotype / cytogenetic / cytogenetics
Heterotrigona,6,0.11129548811371892,14,0.10152474099541377,0.009770747118305154,T6: numts / restriction / coi
Heterotrigona,7,0.09207487668671561,14,0.20797408892851396,-0.11589921224179835,T7: population / populations / microsatellite
Heterotrigona,8,0.04502888113358863,14,0.08404370616554936,-0.03901482503196073,T8: queens / caste / sex
Heterotrigona,9,0.003220486386776414,14,0.06321806024125931,-0.0599975738544829,T9: microbiome / detoxification / exposure
Heterotrigona,10,0.0010464943471131815,14,0.0936174710600461,-0.09257097671293292,T10: dehydrogenase / subspecies / polymorphic
Melipona,1,0.054977156433540564,138,0.1142862054721723,-0.05930904903863174,T1: clades / ecology / taxonomy
Melipona,2,0.033886010666320666,138,0.07232196396572724,-0.03843595329940657,T2: lactic / lab / probiotic
Melipona,3,0.07112145266168325,138,0.06600597803727819,0.005115474624405064,T3: production / virus / viruses
Melipona,4,0.06574031364036245,138,0.06181878443137896,0.00392152920898349,T4: mitogenome / rearrangement / heteroplasmy
Melipona,5,0.12648232736947643,138,0.13518900070266085,-0.008706673333184423,T5: karyotype / cytogenetic / cytogenetics
Melipona,6,0.1049589165428327,138,0.10152474099541377,0.0034341755474189273,T6: numts / restriction / coi
Melipona,7,0.1964540934715826,138,0.20797408892851396,-0.011519995456931359,T7: population / populations / microsatellite
Melipona,8,0.18384609577147565,138,0.08404370616554936,0.09980238960592629,T8: queens / caste / sex
Melipona,9,0.08912611840778147,138,0.06321806024125931,0.025908058166522155,T9: microbiome / detoxification / exposure
Melipona,10,0.07340751503494419,138,0.0936174710600461,-0.020209956025101908,T10: dehydrogenase / subspecies / polymorphic
Multiple,1,0.07209599531088377,90,0.1142862054721723,-0.04219021016128853,T1: clades / ecology / taxonomy
Multiple,2,0.14520649754004503,90,0.07232196396572724,0.07288453357431779,T2: lactic / lab / probiotic
Multiple,3,0.09764784495035475,90,0.06600597803727819,0.03164186691307656,T3: production / virus / viruses
Multiple,4,0.10710040152413187,90,0.06181878443137896,0.04528161709275291,T4: mitogenome / rearrangement / heteroplasmy
Multiple,5,0.06420435197118228,90,0.13518900070266085,-0.07098464873147857,T5: karyotype / cytogenetic / cytogenetics
Multiple,6,0.1817796535874824,90,0.10152474099541377,0.08025491259206864,T6: numts / restriction / coi
Multiple,7,0.0797622690186574,90,0.20797408892851396,-0.12821181990985656,T7: population / populations / microsatellite
Multiple,8,0.09157694549680344,90,0.08404370616554936,0.007533239331254077,T8: queens / caste / sex
Multiple,9,0.07496151235464747,90,0.06321806024125931,0.011743452113388161,T9: microbiome / detoxification / exposure
Multiple,10,0.0856645282458116,90,0.0936174710600461,-0.007952942814234504,T10: dehydrogenase / subspecies / polymorphic
Other_rare_genera,1,0.05772426360088245,23,0.1142862054721723,-0.05656194187128985,T1: clades / ecology / taxonomy
Other_rare_genera,2,0.04911309318173974,23,0.07232196396572724,-0.0232088707839875,T2: lactic / lab / probiotic
Other_rare_genera,3,0.03649560526165482,23,0.06600597803727819,-0.029510372775623364,T3: production / virus / viruses
Other_rare_genera,4,0.10071737338847055,23,0.06181878443137896,0.038898588957091584,T4: mitogenome / rearrangement / heteroplasmy
Other_rare_genera,5,0.174535248812473,23,0.13518900070266085,0.03934624810981216,T5: karyotype / cytogenetic / cytogenetics
Other_rare_genera,6,0.20179729965978702,23,0.10152474099541377,0.10027255866437325,T6: numts / restriction / coi
Other_rare_genera,7,0.265156202820179,23,0.20797408892851396,0.057182113891665026,T7: population / populations / microsatellite
Other_rare_genera,8,0.011325199180183612,23,0.08404370616554936,-0.07271850698536575,T8: queens / caste / sex
Other_rare_genera,9,0.04261005706583963,23,0.06321806024125931,-0.02060800317541968,T9: microbiome / detoxification / exposure
Other_rare_genera,10,0.06052565702879031,23,0.0936174710600461,-0.033091814031255794,T10: dehydrogenase / subspecies / polymorphic
Partamona,1,0.07244148515102146,29,0.1142862054721723,-0.041844720321150844,T1: clades / ecology / taxonomy
Partamona,2,6.747651356670798e-4,29,0.07232196396572724,-0.07164719883006015,T2: lactic / lab / probiotic
Partamona,3,0.0033477346499068365,29,0.06600597803727819,-0.06265824338737135,T3: production / virus / viruses
Partamona,4,0.003938293443003801,29,0.06181878443137896,-0.05788049098837516,T4: mitogenome / rearrangement / heteroplasmy
Partamona,5,0.4170418930759923,29,0.13518900070266085,0.28185289237333144,T5: karyotype / cytogenetic / cytogenetics
Partamona,6,0.05122140750962543,29,0.10152474099541377,-0.05030333348578834,T6: numts / restriction / coi
Partamona,7,0.2842822480372065,29,0.20797408892851396,0.07630815910869251,T7: population / populations / microsatellite
Partamona,8,0.012601943365449316,29,0.08404370616554936,-0.07144176280010005,T8: queens / caste / sex
Partamona,9,0.06866253137933107,29,0.06321806024125931,0.005444471138071755,T9: microbiome / detoxification / exposure
Partamona,10,0.0857876982527963,29,0.0936174710600461,-0.007829772807249807,T10: dehydrogenase / subspecies / polymorphic
Plebeia,1,0.030337188249711614,8,0.1142862054721723,-0.08394901722246069,T1: clades / ecology / taxonomy
Plebeia,2,4.279799887476649e-4,8,0.07232196396572724,-0.07189398397697958,T2: lactic / lab / probiotic
Plebeia,3,0.003642536833424853,8,0.06600597803727819,-0.062363441203853336,T3: production / virus / viruses
Plebeia,4,0.004821937901625921,8,0.06181878443137896,-0.056996846529753044,T4: mitogenome / rearrangement / heteroplasmy
Plebeia,5,0.12120267852124506,8,0.13518900070266085,-0.013986322181415795,T5: karyotype / cytogenetic / cytogenetics
Plebeia,6,0.05351666990576639,8,0.10152474099541377,-0.04800807108964738,T6: numts / restriction / coi
Plebeia,7,0.4123080258981148,8,0.20797408892851396,0.20433393696960087,T7: population / populations / microsatellite
Plebeia,8,0.032759351041896236,8,0.08404370616554936,-0.051284355123653126,T8: queens / caste / sex
Plebeia,9,0.0033813416618203897,8,0.06321806024125931,-0.059836718579438924,T9: microbiome / detoxification / exposure
Plebeia,10,0.3376022899976471,8,0.0936174710600461,0.243984818937601,T10: dehydrogenase / subspecies / polymorphic
Scaptotrigona,1,0.0790346845204533,22,0.1142862054721723,-0.035251520951719004,T1: clades / ecology / taxonomy
Scaptotrigona,2,0.07090509101129196,22,0.07232196396572724,-0.0014168729544352804,T2: lactic / lab / probiotic
Scaptotrigona,3,0.0836353080127311,22,0.06600597803727819,0.017629329975452912,T3: production / virus / viruses
Scaptotrigona,4,0.04982276528610117,22,0.06181878443137896,-0.011996019145277793,T4: mitogenome / rearrangement / heteroplasmy
Scaptotrigona,5,0.033451644227718264,22,0.13518900070266085,-0.10173735647494259,T5: karyotype / cytogenetic / cytogenetics
Scaptotrigona,6,0.06037302937402339,22,0.10152474099541377,-0.04115171162139038,T6: numts / restriction / coi
Scaptotrigona,7,0.3920795588698063,22,0.20797408892851396,0.18410546994129232,T7: population / populations / microsatellite
Scaptotrigona,8,0.16230283750818142,22,0.08404370616554936,0.07825913134263206,T8: queens / caste / sex
Scaptotrigona,9,0.01280097741604771,22,0.06321806024125931,-0.0504170828252116,T9: microbiome / detoxification / exposure
Scaptotrigona,10,0.05559410377364543,22,0.0936174710600461,-0.03802336728640067,T10: dehydrogenase / subspecies / polymorphic
Tetragonisca,1,0.06452021205925768,30,0.1142862054721723,-0.04976599341291463,T1: clades / ecology / taxonomy
Tetragonisca,2,0.06953811782443081,30,0.07232196396572724,-0.0027838461412964255,T2: lactic / lab / probiotic
Tetragonisca,3,0.03836562118386782,30,0.06600597803727819,-0.027640356853410368,T3: production / virus / viruses
Tetragonisca,4,0.04772144353505595,30,0.06181878443137896,-0.014097340896323009,T4: mitogenome / rearrangement / heteroplasmy
Tetragonisca,5,0.157330949450572,30,0.13518900070266085,0.022141948747911144,T5: karyotype / cytogenetic / cytogenetics
Tetragonisca,6,0.12630787588357584,30,0.10152474099541377,0.02478313488816207,T6: numts / restriction / coi
Tetragonisca,7,0.16623734026279643,30,0.20797408892851396,-0.04173674866571753,T7: population / populations / microsatellite
Tetragonisca,8,0.11453839008425387,30,0.08404370616554936,0.03049468391870451,T8: queens / caste / sex
Tetragonisca,9,0.03606441862459921,30,0.06321806024125931,-0.027153641616660104,T9: microbiome / detoxification / exposure
Tetragonisca,10,0.17937563109159052,30,0.0936174710600461,0.08575816003154442,T10: dehydrogenase / subspecies / polymorphic
Tetragonula,1,0.1518108704773174,22,0.1142862054721723,0.03752466500514509,T1: clades / ecology / taxonomy
Tetragonula,2,0.04337310526663887,22,0.07232196396572724,-0.028948858699088365,T2: lactic / lab / probiotic
Tetragonula,3,0.042700907124498325,22,0.06600597803727819,-0.023305070912779863,T3: production / virus / viruses
Tetragonula,4,0.14801644182058224,22,0.06181878443137896,0.08619765738920328,T4: mitogenome / rearrangement / heteroplasmy
Tetragonula,5,0.0017518574349822584,22,0.13518900070266085,-0.13343714326767858,T5: karyotype / cytogenetic / cytogenetics
Tetragonula,6,0.18881390755883376,22,0.10152474099541377,0.08728916656341999,T6: numts / restriction / coi
Tetragonula,7,0.1815065484787769,22,0.20797408892851396,-0.026467540449737065,T7: population / populations / microsatellite
Tetragonula,8,0.09810264862971466,22,0.08404370616554936,0.014058942464165294,T8: queens / caste / sex
Tetragonula,9,0.12793091394206998,22,0.06321806024125931,0.06471285370081067,T9: microbiome / detoxification / exposure
Tetragonula,10,0.015992799266585513,22,0.0936174710600461,-0.07762467179346058,T10: dehydrogenase / subspecies / polymorphic
Trigona,1,0.10862014759223208,22,0.1142862054721723,-0.00566605787994022,T1: clades / ecology / taxonomy
Trigona,2,0.061971908015718356,22,0.07232196396572724,-0.010350055950008881,T2: lactic / lab / probiotic
Trigona,3,0.11063479127654995,22,0.06600597803727819,0.04462881323927176,T3: production / virus / viruses
Trigona,4,0.03753225738261141,22,0.06181878443137896,-0.024286527048767555,T4: mitogenome / rearrangement / heteroplasmy
Trigona,5,0.2364803428260025,22,0.13518900070266085,0.10129134212334165,T5: karyotype / cytogenetic / cytogenetics
Trigona,6,0.11634240663177581,22,0.10152474099541377,0.01481766563636204,T6: numts / restriction / coi
Trigona,7,0.12298162942963686,22,0.20797408892851396,-0.0849924594988771,T7: population / populations / microsatellite
Trigona,8,0.006850733736096638,22,0.08404370616554936,-0.07719297242945272,T8: queens / caste / sex
Trigona,9,0.002594217138113109,22,0.06321806024125931,-0.060623843103146204,T9: microbiome / detoxification / exposure
Trigona,10,0.19599156597126333,22,0.0936174710600461,0.10237409491121723,T10: dehydrogenase / subspecies / polymorphic
Unclassified,1,0.46643240055538726,4,0.1142862054721723,0.352146195083215,T1: clades / ecology / taxonomy
Unclassified,2,0.021646285290481765,4,0.07232196396572724,-0.05067567867524547,T2: lactic / lab / probiotic
Unclassified,3,0.10155298976746849,4,0.06600597803727819,0.0355470117301903,T3: production / virus / viruses
Unclassified,4,0.00713376178456427,4,0.06181878443137896,-0.05468502264681469,T4: mitogenome / rearrangement / heteroplasmy
Unclassified,5,6.340275603527383e-4,4,0.13518900070266085,-0.1345549731423081,T5: karyotype / cytogenetic / cytogenetics
Unclassified,6,0.008968011787315086,4,0.10152474099541377,-0.09255672920809868,T6: numts / restriction / coi
Unclassified,7,0.2213609347229457,4,0.20797408892851396,0.013386845794431751,T7: population / populations / microsatellite
Unclassified,8,0.029041668981636452,4,0.08404370616554936,-0.05500203718391291,T8: queens / caste / sex
Unclassified,9,0.14097901783425582,4,0.06321806024125931,0.0777609575929965,T9: microbiome / detoxification / exposure
Unclassified,10,0.002250901715592472,4,0.0936174710600461,-0.09136656934445363,T10: dehydrogenase / subspecies / polymorphic
