topic,semantic_coherence,exclusivity,short_label
1,-100.6006100577698,10.863448796104816,T1: clades / ecology / taxonomy
2,-80.30881873387526,11.7026471125277,T2: lactic / lab / probiotic
3,-168.4157398959445,11.733641638521934,T3: production / virus / viruses
4,-76.38577850092157,11.285755072899644,T4: mitogenome / rearrangement / heteroplasmy
5,-79.5922819092728,11.33613793458901,T5: karyotype / cytogenetic / cytogenetics
6,-103.83002195513433,11.087888880492487,T6: numts / restriction / coi
7,-72.30810176758726,11.185437414536397,T7: population / populations / microsatellite
8,-98.4196802614648,11.506662499020056,T8: queens / caste / sex
9,-119.9035173997912,11.293873724116962,T9: microbiome / detoxification / exposure
10,-123.81732398777552,11.56965789268013,T10: dehydrogenase / subspecies / polymorphic
