year,topic,mean_prevalence,n_documents,short_label,prevalence_smooth
1950,1,0.0032913024087805566,2,T1: clades / ecology / taxonomy,0.0032913024087805566
1951,1,0,0,T1: clades / ecology / taxonomy,0.0010971008029268521
1952,1,0,0,T1: clades / ecology / taxonomy,0
1953,1,0,0,T1: clades / ecology / taxonomy,0
1954,1,0,0,T1: clades / ecology / taxonomy,0
1955,1,0,0,T1: clades / ecology / taxonomy,0
1956,1,0,0,T1: clades / ecology / taxonomy,0
1957,1,0,0,T1: clades / ecology / taxonomy,0
1958,1,0,0,T1: clades / ecology / taxonomy,0
1959,1,0,0,T1: clades / ecology / taxonomy,0
1960,1,0,0,T1: clades / ecology / taxonomy,0
1961,1,0,0,T1: clades / ecology / taxonomy,0
1962,1,0,0,T1: clades / ecology / taxonomy,0
1963,1,0,0,T1: clades / ecology / taxonomy,0
1964,1,0,0,T1: clades / ecology / taxonomy,0
1965,1,0,0,T1: clades / ecology / taxonomy,0.002563198985082053
1966,1,0.007689596955246159,1,T1: clades / ecology / taxonomy,0.002563198985082053
1967,1,0,0,T1: clades / ecology / taxonomy,0.002563198985082053
1968,1,0,0,T1: clades / ecology / taxonomy,0.0038676139560669173
1969,1,0.011602841868200752,3,T1: clades / ecology / taxonomy,0.006503333855353028
1970,1,0.007907159697858332,1,T1: clades / ecology / taxonomy,0.006503333855353028
1971,1,0,0,T1: clades / ecology / taxonomy,0.023086506514714153
1972,1,0.061352359846284135,2,T1: clades / ecology / taxonomy,0.020450786615428044
1973,1,0,0,T1: clades / ecology / taxonomy,0.021312225366178526
1974,1,0.0025843162522514473,1,T1: clades / ecology / taxonomy,0.006295721775625423
1975,1,0.01630284907462482,2,T1: clades / ecology / taxonomy,0.007802839087821967
1976,1,0.004521351936589635,1,T1: clades / ecology / taxonomy,0.006941400337071485
1977,1,0,0,T1: clades / ecology / taxonomy,0.0015071173121965447
1978,1,0,0,T1: clades / ecology / taxonomy,0.0284575665846724
1979,1,0.0853726997540172,2,T1: clades / ecology / taxonomy,0.0284575665846724
1980,1,0,0,T1: clades / ecology / taxonomy,0.0284575665846724
1981,1,0,0,T1: clades / ecology / taxonomy,0
1982,1,0,0,T1: clades / ecology / taxonomy,0.09313989686870663
1983,1,0.27941969060611993,2,T1: clades / ecology / taxonomy,0.09467383404439665
1984,1,0.004601811527070022,1,T1: clades / ecology / taxonomy,0.09467383404439665
1985,1,0,0,T1: clades / ecology / taxonomy,0.00278659945376027
1986,1,0.003757986834210789,3,T1: clades / ecology / taxonomy,0.004286677545735958
1987,1,0.009102045802997087,3,T1: clades / ecology / taxonomy,0.009838332184056064
1988,1,0.016654963914960314,1,T1: clades / ecology / taxonomy,0.00874182851735137
1989,1,0.00046847583409671166,1,T1: clades / ecology / taxonomy,0.005740427786374785
1990,1,9.7843610067331e-5,1,T1: clades / ecology / taxonomy,2.314625573819847e-4
1991,1,1.280682279819115e-4,4,T1: clades / ecology / taxonomy,0.003276012467581643
1992,1,0.009602125564695687,3,T1: clades / ecology / taxonomy,0.0032433979308925326
1993,1,0,0,T1: clades / ecology / taxonomy,0.004276568924872104
1994,1,0.0032275812099206262,2,T1: clades / ecology / taxonomy,0.0019827349972550566
1995,1,0.0027206237818445437,4,T1: clades / ecology / taxonomy,0.0019827349972550566
1996,1,0,0,T1: clades / ecology / taxonomy,0.0030354067708574383
1997,1,0.006385596530727771,2,T1: clades / ecology / taxonomy,0.006415053692719672
