doc_index,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,doc_id,article_id,title,year,source_database,genus_raw,genus_for_stm,mentioned_genera,journal,doi
1,0.12330990123076285,0.0012542510902910943,0.002721272721035118,0.2224435837263767,0.011535919244868598,0.6178037284549349,0.012816920000476196,0.0036113520402225,2.7229548476805277e-5,0.004475841942555625,1,1,"Nuclear mitochondrial DNA: An Achilles' heel of molecular systematics, phylogenetics, and phylogeographic studies of stingless bees",2012,Scopus,Melipona,Melipona,Melipona,APIDOLOGIE,10.1007/s13592-012-0122-4
2,0.0011107432530465403,0.0028438581210652562,0.9823879106428167,6.433136960031589e-4,5.495343517709773e-6,0.003441138043959094,0.004539221852360733,0.0017047729531917716,0.003305690008424184,1.7856085614684806e-5,2,2,"Detection, replication and quantification of deformed wing virus-A, deformed wing virus-B, and black queen cell virus in the endemic stingless bee, Melipona colimana, from Jalisco, Mexico",2021,Scopus,Melipona,Melipona,Melipona,INTERNATIONAL JOURNAL OF TROPICAL INSECT SCIENCE,10.1007/s42690-020-00320-7
3,0.20262649997158758,3.568878039348871e-5,0.0030867754586182536,8.5187689726119e-4,0.0019908621673627967,0.010943392230841583,0.7684672416474196,0.010488915432586007,1.1670715444136641e-4,0.0013920402594880948,3,3,"Pleistocene climate changes shaped the population structure of Partamona seridoensis (Apidae, Meliponini), an endemic stingless bee from the Neotropical dry forest",2017,Scopus,Partamona,Partamona,Partamona,PLOS ONE,10.1371/journal.pone.0175725
4,0.004321242761510403,1.7254538818574735e-4,0.0013202595907878603,0.0024438800456707648,0.0026976802752454684,0.593988543179056,0.10645975734806286,0.0021755974107939423,9.890432118659816e-4,0.2854314507888208,4,4,Mitochondrial DNA polymorphism among populations of melipona quadrifasciata quadrifasciata lepeletier (Apidae: Meliponini) from Southern Brazil; [Polimorfi smo do DNA mitocondrial entre populações de melipona quadrifasciata quadrifasciata Lepeletier (Apidae: Meliponini) do Sul do Brasil],2009,Scopus,Melipona,Melipona,Melipona,NEOTROPICAL ENTOMOLOGY,10.1590/s1519-566x2009000200007
5,0.002264988817940293,0.5856466319703891,0.3827991888955659,0.004129798498754016,2.604603965804276e-5,0.007123540224699943,0.0010043638581898817,0.0024394994812965243,0.014527656441972434,3.828577153342382e-5,5,5,"Honey characterization and identification of fructophilic lactic acid bacteria of fresh samples from Melipona beecheii, Scaptotrigona pectoralis, Plebeia llorentei, and Plebeia jatiformis hives",2023,Scopus,Multiple,Multiple,Melipona; Plebeia; Scaptotrigona,FRONTIERS IN SUSTAINABLE FOOD SYSTEMS,10.3389/fsufs.2023.1113920
6,0.005967199481230119,0.0013175650209809957,0.009937677464672686,0.00812747632419333,0.0013462943300174208,0.8636135582166882,0.10189411442480825,6.932855944625077e-4,7.024142668163621e-4,0.0064004148761306395,6,6,"Stingless bees (Hymenoptera: Apidae) in South and West Sulawesi, Indonesia: morphology, nest structure, and molecular characteristics",2021,Scopus,Multiple,Multiple,Lepidotrigona; Tetragonula; Wallacetrigona,JOURNAL OF APICULTURAL RESEARCH,10.1080/00218839.2020.1816272
7,0.007032797228357134,0.009665943912292117,0.3638700112732498,0.06277561527736779,3.0513344127285998e-5,0.5345693291382451,0.016386698033854896,0.0016378154853621827,0.0036257004167037617,4.0557589044047806e-4,7,7,TAXONOMIC STATUS OF STINGLESS BEE LEPIDOTRIGONA ARCIFERA (HYMENOPTERA: MELIPONINI) FROM THE SOUTHWEST CHINA - TIBETAN PLATEAU,2024,Scopus,Lepidotrigona,Other_rare_genera,Lepidotrigona,JOURNAL OF APICULTURAL SCIENCE,10.2478/jas-2024-0008
8,0.43899266513034113,2.787240632838369e-4,0.007340382883942626,0.027875645540206967,0.0029310955116219634,0.00919959265886481,0.38206168598264295,0.12872196520634743,0.0017113156953654457,8.86927327383182e-4,8,8,"Gene Flow Between Populations With Highly Divergent Mitogenomes in the Australian Stingless Bee, Tetragonula hockingsi",2024,Scopus,Tetragonula,Tetragonula,Tetragonula,ECOLOGY AND EVOLUTION,10.1002/ece3.70475
9,0.007595495909946637,7.759150123803742e-4,1.6869550659197045e-4,0.006027880049951409,0.9733606308166088,0.005082108265591319,0.0029495015727449237,0.0027385676137786563,3.508972796260065e-4,9.503079727801581e-4,9,9,Repetitive DNAs in Melipona scutellaris (Hymenoptera: Apidae: Meliponidae): chromosomal distribution and test of multiple heterochromatin amplification in the genus,2018,Scopus,Melipona,Melipona,Melipona,APIDOLOGIE,10.1007/s13592-018-0577-z
10,0.0040290442340678335,5.402453966658879e-4,7.764945027609129e-5,0.0024064760126883975,0.9865462971914573,0.0023032729870706183,0.0014762964799074983,0.0016291981768754415,3.005100695862248e-4,6.91010001405073e-4,10,10,Comparative molecular cytogenetics of Melipona Illiger species (Hymenoptera: Apidae),2018,Scopus,Melipona,Melipona,Melipona,SOCIOBIOLOGY,10.13102/sociobiology.v65i4.3480
11,0.04765877436322668,0.001128723575884231,0.0013204145392482626,0.9410549569252722,0.0012711441476940283,0.005335767691969924,8.011581291253052e-4,0.001330384754789981,8.45927030750758e-5,1.4083169715414122e-5,11,11,"The Mitochondrial Genome of Melipona fasciculata (Apidae, Meliponini): Genome Organization and Comparative Analyses, Phylogenetic Implications and Divergence Time Estimations",2025,Scopus,Melipona,Melipona,Melipona,BIOCHEMICAL GENETICS,10.1007/s10528-024-10991-3
12,0.004164236250231309,0.003094861762580244,0.024972513104868813,0.10709908293700712,0.0012007605656297108,0.09633116997980812,0.006745157026970607,0.7526554619473789,3.092243206397719e-4,0.003427532104885717,12,12,"Insights into the Melipona scutellaris (Hymenoptera, Apidae, Meliponini) fat body transcriptome",2013,Scopus,Melipona,Melipona,Melipona,GENETICS AND MOLECULAR BIOLOGY,10.1590/s1415-47572013000200022
13,0.0044802335731493545,3.998075054641569e-4,6.295349466908258e-5,0.0016856762069891074,0.9880886697657767,0.0018406999441016824,0.0013490638020304967,0.0012671543500591498,2.6002117755775575e-4,5.657201802026974e-4,13,13,Comparative cytogenetics in three Melipona species (Hymenoptera: Apidae) with two divergent heterochromatic patterns,2018,Scopus,Melipona,Melipona,Melipona,GENETICS AND MOLECULAR BIOLOGY,10.1590/1678-4685-gmb-2017-0330
14,0.24424469321017425,0.0015668538205871794,0.17303009429312513,0.014217264954082093,0.0032292782883058405,0.23307807782824613,0.3133710760916222,0.007324399341808068,4.727535068219697e-4,0.00946550866522766,14,14,Barcoding stingless bees: Genetic diversity of the economically important genus Scaptotrigona in Mesoamerica,2013,Scopus,Scaptotrigona,Scaptotrigona,Scaptotrigona,APIDOLOGIE,10.1007/s13592-012-0146-9
15,0.004844340209452044,1.1064040467192124e-5,0.004306988490578864,2.8581814180050213e-4,7.733865285965364e-5,0.003542875000590356,0.9831116775403501,8.666223493684941e-4,5.625779122951885e-4,0.0023906976622373355,15,15,"Exploring genetic and morphometric variations in Partamona ailyae, a widely distributed neotropical stingless bee of South America",2025,Scopus,Partamona,Partamona,Partamona,JOURNAL OF INSECT CONSERVATION,10.1007/s10841-025-00687-3
16,0.34006480324115124,1.512738958628819e-4,0.008582578368724628,0.003130429566742407,0.0021530148755118934,0.00821800778068741,0.6201219755736063,0.013261594845719841,0.0020792287094481845,0.0022370931425448825,16,16,Unveiling the Genetic Structure and Ecological Niche Diversification of the Stingless Bee Tetragonisca angustula (Meliponini) in Peruvian Amazon,2025,Scopus,Tetragonisca,Tetragonisca,Tetragonisca,JOURNAL OF BIOGEOGRAPHY,10.1111/jbi.70107
17,0.007287292107247783,8.247569777777165e-5,0.0042318220430209086,0.1591968069013629,0.001088307749796647,0.3605872862223038,0.45565695738694356,0.0031960948642529878,2.9293594723557803e-6,0.008670027667821014,17,17,Population structure of the stingless bee (Tetragonula pagdeni Schwarz) in Thailand determined by cytochrome b and ATPase6–tRNAASP sequence analysis,2014,Scopus,Tetragonula,Tetragonula,Tetragonula,INTERNATIONAL JOURNAL OF INTEGRATIVE BIOLOGY,
18,9.244462363521984e-4,0.010167362682232148,0.009568852539960059,1.161628718940636e-4,0.0020563255725677162,0.0011528622960822158,0.0014089428756740565,0.0028522264345701826,0.9712569106087465,4.959078819210769e-4,18,18,Loss and gain of gut bacterial phylotype symbionts in afrotropical stingless bee species (Apidae: Meliponinae),2021,Scopus,Multiple,Multiple,Dactylurina; Hypotrigona; Liotrigona; Meliponula,MICROORGANISMS,10.3390/microorganisms9122420
19,0.0034171124916606986,0.0046128636209168275,0.9361584060244945,9.66735425848137e-4,1.244673386673747e-5,0.021087860276572768,0.023683270256362368,0.008322263685914271,0.00136641374470792,3.726277396552483e-4,19,19,First detection of honey bee viruses in stingless bees in North America,2015,Scopus,Scaptotrigona,Scaptotrigona,Scaptotrigona,JOURNAL OF APICULTURAL RESEARCH,10.1080/00218839.2015.1100154
20,1.3084409171241226e-5,4.4075300858643175e-4,7.052309788875858e-4,1.4870487991399354e-5,0.002965600985538835,0.0033424845973281845,0.006116535258736968,0.0024841826409276167,1.6531182942325169e-6,0.9839156045145375,20,20,Biochemical genetic differentiation in the Trigona atripes species group of Malaysian stingless bees (insecta: hymenoptera: apidae),1991,Scopus,Trigona,Trigona,Trigona,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY -- PART B: BIOCHEMISTRY AND,10.1016/0305-0491(91)90345-e
21,0.011047670058326626,0.0015038400338238693,0.07352895025498804,0.00845587080814254,7.38892619491523e-4,0.28254133469921155,0.5730224710529264,0.039806347890782016,0.001338286528117166,0.008016336054189893,21,21,Genetic variability of melipona subnitida (hymenoptera: Apidae) in introduced and native populations,2018,Scopus,Melipona,Melipona,Melipona,JOURNAL OF INSECT SCIENCE,10.1093/jisesa/iey089
22,0.001298209972747647,7.422058532616197e-4,0.0023882678721481735,0.0017583876330957702,9.124054355112594e-4,7.266113013380992e-4,0.0014945028340511703,0.9891091248970224,0.0014531633561609316,1.1712084466285064e-4,22,22,"Exploring integument transcriptomes, cuticle ultrastructure, and cuticular hydrocarbons profiles in eusocial and solitary bee species displaying heterochronic adult cuticle maturation",2019,Scopus,Frieseomelitta,Frieseomelitta,Frieseomelitta,PLOS ONE,10.1371/journal.pone.0213796
23,0.004332715310279304,0.0018645388957456946,0.0014247686971142275,0.9843911161492787,5.711632681507623e-4,0.005714393156338932,2.1773550222397323e-4,0.0013913471485465275,8.521585623797332e-5,7.006016084158486e-6,23,23,"The nuclear and mitochondrial genome assemblies of Tetragonisca angustula (Apidae: Meliponini), a tiny yet remarkable pollinator in the Neotropics",2024,Scopus,Tetragonisca,Tetragonisca,Tetragonisca,BMC GENOMICS,10.1186/s12864-024-10502-z
24,0.0063530377074625015,0.0012012624238429482,0.06515583568078401,0.0015810182919476963,4.43084086379025e-4,0.012287923754689803,0.25004384026926835,0.6564165961504053,0.0018710980296431,0.00464630360557703,24,24,Relatedness and dispersal distance of eusocial bee males on mating swarms,2016,Scopus,Tetragonisca,Tetragonisca,Tetragonisca,ENTOMOLOGICAL SCIENCE,10.1111/ens.12195
25,0.009287438867805156,2.2907588017358427e-5,0.0018841633779505735,0.0022936600145522625,9.793146611274727e-4,0.46342543766300753,0.42626777157962975,0.0015628254136840626,2.554374825557219e-4,0.09402104335167026,25,25,Intraspecific variation in the stingless bee Melipona beecheii assessed with PCR-RFLP of the ITS1 ribosomal DNA,2009,Scopus,Melipona,Melipona,Melipona,APIDOLOGIE,10.1051/apido/2009036
26,0.002592988185911233,1.3513368359933042e-4,0.0012333953344369555,0.001341969297211839,0.0018441651140373929,0.001960412646617607,0.009402755743087611,0.9746623577414839,9.098640836084153e-4,0.005916958170005469,26,26,Intraspecific queen parasitism in a highly eusocial bee,2011,Scopus,Melipona,Melipona,Melipona,BIOLOGY LETTERS,10.1098/rsbl.2010.0819
27,0.009071465560424775,0.0017117219316699307,0.05915155033364637,0.0031782400669560953,2.0204430226142863e-4,0.6984432246019199,0.21994963951151036,0.0021220882540147145,4.707009849507381e-4,0.005699324452645717,27,27,Identification of stingless bees (Hymenoptera: Apidae) in Kenya using morphometrics and DNA barcoding; [Identificación de las abejas sin aguijón (Hymenoptera: Apidae) en Kenia usando morfometría y ADN barcoding (código de barras molecular)],2017,Scopus,Multiple,Multiple,Dactylurina; Meliponula; Plebeina,JOURNAL OF APICULTURAL RESEARCH,10.1080/00218839.2017.1327939
