frontier_rank,topic,short_label,recent_mean_prevalence,recent_slope,current_prevalence,current_year
1,1,T1: clades / taxonomy / ecology,0.1152046329738338,0.03489641777992578,0.22615850313756378,2026
2,4,T4: mitogenome / rearrangement / complete,0.1365121861616063,0.0337686942509128,0.20315997406058486,2026
3,6,T6: numts / restriction / coi,0.09157484236870986,0.0031962573414113776,0.08717351056407724,2026
4,8,T8: queens / caste / sex,0.06238940152087532,0.001769786237049682,0.06403666107865044,2026
5,10,T10: subspecies / rapd / polymorphic,0.0037288297162854397,-0.001794707097442526,5.265702619645274e-4,2026
6,5,T5: heterochromatin / karyotype / cytogenetic,0.0759358884813611,-0.0019034640182400856,0.08587424561618576,2026
7,3,T3: production / virus / viruses,0.12542940407479075,-0.0031568373901302038,0.08297160381414329,2026
8,9,T9: microbiome / exposure / malpighian,0.13222634391922608,-0.010231251036112592,0.11972554213679963,2026
9,2,T2: lactic / lab / probiotic,0.15098984982378488,-0.022026442359124616,0.12961800074595473,2026
10,7,T7: population / populations / microsatellite,0.10600862095952647,-0.03451845370824966,7.553885840755795e-4,2026
