doc_id,article_id,title,year,doi,source_database,genus_raw,genus_for_stm,n_genera_mentioned,mentioned_genera
1,1,"Nuclear mitochondrial DNA: An Achilles' heel of molecular systematics, phylogenetics, and phylogeographic studies of stingless bees",2012,10.1007/s13592-012-0122-4,Scopus,Melipona,Melipona,1,Melipona
2,2,"Detection, replication and quantification of deformed wing virus-A, deformed wing virus-B, and black queen cell virus in the endemic stingless bee, Melipona colimana, from Jalisco, Mexico",2021,10.1007/s42690-020-00320-7,Scopus,Melipona,Melipona,1,Melipona
3,3,"Pleistocene climate changes shaped the population structure of Partamona seridoensis (Apidae, Meliponini), an endemic stingless bee from the Neotropical dry forest",2017,10.1371/journal.pone.0175725,Scopus,Partamona,Partamona,1,Partamona
4,4,Mitochondrial DNA polymorphism among populations of melipona quadrifasciata quadrifasciata lepeletier (Apidae: Meliponini) from Southern Brazil; [Polimorfi smo do DNA mitocondrial entre populações de melipona quadrifasciata quadrifasciata Lepeletier (Apidae: Meliponini) do Sul do Brasil],2009,10.1590/s1519-566x2009000200007,Scopus,Melipona,Melipona,1,Melipona
5,5,"Honey characterization and identification of fructophilic lactic acid bacteria of fresh samples from Melipona beecheii, Scaptotrigona pectoralis, Plebeia llorentei, and Plebeia jatiformis hives",2023,10.3389/fsufs.2023.1113920,Scopus,Multiple,Multiple,3,Melipona; Plebeia; Scaptotrigona
6,6,"Stingless bees (Hymenoptera: Apidae) in South and West Sulawesi, Indonesia: morphology, nest structure, and molecular characteristics",2021,10.1080/00218839.2020.1816272,Scopus,Multiple,Multiple,3,Lepidotrigona; Tetragonula; Wallacetrigona
7,7,TAXONOMIC STATUS OF STINGLESS BEE LEPIDOTRIGONA ARCIFERA (HYMENOPTERA: MELIPONINI) FROM THE SOUTHWEST CHINA - TIBETAN PLATEAU,2024,10.2478/jas-2024-0008,Scopus,Lepidotrigona,Other_rare_genera,1,Lepidotrigona
8,8,"Gene Flow Between Populations With Highly Divergent Mitogenomes in the Australian Stingless Bee, Tetragonula hockingsi",2024,10.1002/ece3.70475,Scopus,Tetragonula,Tetragonula,1,Tetragonula
9,9,Repetitive DNAs in Melipona scutellaris (Hymenoptera: Apidae: Meliponidae): chromosomal distribution and test of multiple heterochromatin amplification in the genus,2018,10.1007/s13592-018-0577-z,Scopus,Melipona,Melipona,1,Melipona
10,10,Comparative molecular cytogenetics of Melipona Illiger species (Hymenoptera: Apidae),2018,10.13102/sociobiology.v65i4.3480,Scopus,Melipona,Melipona,1,Melipona
