genus_for_stm,topic,mean_prevalence,n_documents,topic_mean,prevalence_lift,short_label
Frieseomelitta,1,0.19511552751049147,8,0.11514395058097855,0.07997157692951291,T1: clades / taxonomy / ecology
Frieseomelitta,2,0.0012948221290717064,8,0.07132679970619538,-0.07003197757712366,T2: lactic / lab / probiotic
Frieseomelitta,3,0.008337733128756034,8,0.06520410862264411,-0.05686637549388808,T3: production / virus / viruses
Frieseomelitta,4,0.004385665996849909,8,0.061510054866944414,-0.05712438887009451,T4: mitogenome / rearrangement / complete
Frieseomelitta,5,0.28865261330916586,8,0.1358948826553891,0.15275773065377676,T5: heterochromatin / karyotype / cytogenetic
Frieseomelitta,6,0.014467173683067752,8,0.10239423901694714,-0.08792706533387938,T6: numts / restriction / coi
Frieseomelitta,7,0.08884879651093974,8,0.20464471646307986,-0.11579591995214011,T7: population / populations / microsatellite
Frieseomelitta,8,0.22053770919741317,8,0.08026639149777326,0.1402713176996399,T8: queens / caste / sex
Frieseomelitta,9,0.15595903690732799,8,0.06756067380525382,0.08839836310207416,T9: microbiome / exposure / malpighian
Frieseomelitta,10,0.022400921626916336,8,0.09605418278479429,-0.07365326115787796,T10: subspecies / rapd / polymorphic
Heterotrigona,1,0.01638782857857757,14,0.11514395058097855,-0.09875612200240098,T1: clades / taxonomy / ecology
Heterotrigona,2,0.3729967846685342,14,0.07132679970619538,0.3016699849623388,T2: lactic / lab / probiotic
Heterotrigona,3,0.1923930621355181,14,0.06520410862264411,0.127188953512874,T3: production / virus / viruses
Heterotrigona,4,0.16823016377984712,14,0.061510054866944414,0.1067201089129027,T4: mitogenome / rearrangement / complete
Heterotrigona,5,7.200433846022799e-4,14,0.1358948826553891,-0.13517483927078683,T5: heterochromatin / karyotype / cytogenetic
Heterotrigona,6,0.1087830627543024,14,0.10239423901694714,0.006388823737355262,T6: numts / restriction / coi
Heterotrigona,7,0.0897396202581455,14,0.20464471646307986,-0.11490509620493436,T7: population / populations / microsatellite
Heterotrigona,8,0.04611017703267003,14,0.08026639149777326,-0.03415621446510323,T8: queens / caste / sex
Heterotrigona,9,0.003670087368231685,14,0.06756067380525382,-0.06389058643702214,T9: microbiome / exposure / malpighian
Heterotrigona,10,9.691700395709809e-4,14,0.09605418278479429,-0.09508501274522331,T10: subspecies / rapd / polymorphic
Melipona,1,0.05436100798342553,138,0.11514395058097855,-0.06078294259755302,T1: clades / taxonomy / ecology
Melipona,2,0.03540505188273992,138,0.07132679970619538,-0.035921747823455454,T2: lactic / lab / probiotic
Melipona,3,0.07132643899706351,138,0.06520410862264411,0.0061223303744193935,T3: production / virus / viruses
Melipona,4,0.06375868356569643,138,0.061510054866944414,0.002248628698752017,T4: mitogenome / rearrangement / complete
Melipona,5,0.12622149821074224,138,0.1358948826553891,-0.009673384444646854,T5: heterochromatin / karyotype / cytogenetic
Melipona,6,0.1060553605195319,138,0.10239423901694714,0.0036611215025847688,T6: numts / restriction / coi
Melipona,7,0.19572398290699305,138,0.20464471646307986,-0.008920733556086802,T7: population / populations / microsatellite
Melipona,8,0.18263545629231914,138,0.08026639149777326,0.10236906479454588,T8: queens / caste / sex
Melipona,9,0.0901479601057496,138,0.06756067380525382,0.02258728630049578,T9: microbiome / exposure / malpighian
Melipona,10,0.07436455953573874,138,0.09605418278479429,-0.021689623249055545,T10: subspecies / rapd / polymorphic
Multiple,1,0.071938580845889,90,0.11514395058097855,-0.04320536973508955,T1: clades / taxonomy / ecology
Multiple,2,0.14603256834030928,90,0.07132679970619538,0.0747057686341139,T2: lactic / lab / probiotic
Multiple,3,0.09934566286846022,90,0.06520410862264411,0.03414155424581611,T3: production / virus / viruses
Multiple,4,0.10543296115772068,90,0.061510054866944414,0.04392290629077626,T4: mitogenome / rearrangement / complete
Multiple,5,0.06466884671835557,90,0.1358948826553891,-0.07122603593703353,T5: heterochromatin / karyotype / cytogenetic
