topic,prob,frex,lift,score,short_label
1,"evolution, genome, dna, molecular, phylogeny, size, phylogenetic, analyses, social, group, two, clade","clades, taxonomy, ecology, clade, selection, size, evolution, influence, relationships, divergence, cuticular, cytometry","influence, opsin, framework, ecology, find, combining, integrative, sensu, infer, clades, includes, bumblebee","influence, evolution, genome, clades, cytometry, cuticular, ecology, size, opsin, mitochondrial, divergence, relationships",T1: clades / taxonomy / ecology
2,"honey, bacteria, acid, isolated, lactic, bacterial, lab, food, activity, strain, isolates, lactobacillus","lactic, lab, probiotic, fungus, bacillus, yeast, isolates, strain, isolated, acid, fermentation, bacteria","ani, applications, aureus, culture, gram, plantarum, staphylococcus, antibiotic, ascomycetes, ascomycota, bacillus, basidiomycetes","bacteria, lactic, probiotic, lab, isolates, bacterial, strain, lactobacillus, polyploidy, fungus, strains, yeast",T2: lactic / lab / probiotic
3,"honey, colonies, production, apis, plant, mellifera, pollen, virus, native, viruses, plants, wild","production, virus, viruses, plant, plants, metabarcoding, viral, mellifera, wild, floral, apis, dorsata","bqcv, dwv, enhancing, medicinal, production, viral, virus, viruses, infections, floral, dorsata, plants","production, virus, viruses, honey, viral, dwv, bqcv, pollen, metabarcoding, deformed, plant, plants",T3: production / virus / viruses
4,"genome, gene, mitochondrial, rna, genes, sequence, mitogenome, dna, complete, phylogeny, evolution, sequencing","mitogenome, rearrangement, complete, heteroplasmy, pcgs, trna, genome, transfer, rna, codon, protein-coding, genomes","code, unusual, coding, d-loop, dinucleotide, heteroplasmy, mitogenome, pcgs, rnas, trna, codon, phylogenomics","mitogenome, genome, mitochondrial, pcgs, rearrangement, trna, heteroplasmy, protein-coding, transfer, codon, mitogenomes, dinucleotide",T4: mitogenome / rearrangement / complete
5,"chromosome, heterochromatin, chromosomes, karyotype, cytogenetic, number, dna, analysis, evolution, staining, chromosomal, hybridization","heterochromatin, karyotype, cytogenetic, cytogenetics, heterochromatic, situ, fluorochrome, karyotypic, chromosome, chromosomes, fish, c-banding","centric, centromeric, diamidino, fission, fusion, localization, phenylindole, sequential, stain, acrocentric, autosome, base-specific","heterochromatin, chromosome, chromosomes, karyotype, cytogenetic, heterochromatic, chromosomal, repetitive, staining, cytogenetics, supernumerary, fluorochrome",T5: heterochromatin / karyotype / cytogenetic
6,"dna, sequence, mitochondrial, molecular, analysis, genetic, identification, sequences, restriction, morphological, coi, gene","numts, restriction, coi, fragment, morphological, cytochrome, its, barcoding, polymerase, oxidase, length, chain","bootstrap, numt, numts, transcribed, ecori, identifications, methodology, mitocondrial, possibility, sscp, rflp, homology","numts, mitochondrial, restriction, polymorphism, barcoding, coi, mtdna, its, numt, fragment, haplotypes, primer",T6: numts / restriction / coi
7,"genetic, population, populations, microsatellite, diversity, structure, differentiation, gene, variation, conservation, colonies, variability","population, populations, microsatellite, geometric, differentiation, structure, microsatellites, geographic, issr, flow, genetic, loci","amova, cytb, equilibrium, genotyped, scientific, structured, upgma, analyzing, barrier, concerns, demographic, fragmentation","populations, microsatellite, genetic, geometric, issr, microsatellites, heterozygosity, loci, morphometrics, variability, morphometry, alleles",T7: population / populations / microsatellite
8,"gene, expression, genes, males, workers, social, queens, caste, sex, male, determination, insect","queens, caste, sex, juvenile, hormone, reproductive, determination, males, mating, diploid, developmental, expressed","cdna, egg, hormones, methyl, mrna, ovary, pupa, pupal, queens, transcripts, underlying, virgin","sex, males, expression, juvenile, caste, diploid, queens, hormone, workers, expressed, transcriptome, reproductive",T8: queens / caste / sex
9,"gut, microbiota, microbiome, bacterial, bacteria, animal, expression, composition, animals, microbial, detoxification, associated","microbiome, exposure, malpighian, microbiomes, sublethal, gut, symbionts, detoxification, microbiota, response, tubules, pesticide","exposure, lep, malpighian, neonicotinoid, pesticide, responses, symbiont, tubule, acetobacteraceae, agrochemicals, guts, insecticide","gut, microbiota, microbiome, bacterial, sublethal, bacteria, exposure, malpighian, microbiomes, microbial, detoxification, symbionts",T9: microbiome / exposure / malpighian
10,"two, genetic, subspecies, marker, polymorphic, one, variation, polymorphism, dehydrogenase, colonies, markers, observed","subspecies, rapd, polymorphic, dehydrogenase, gerais, isoenzymes, marker, esterases, bands, frequency, enzyme, polymorphism","allozyme, electrophoresis, esterases, gel, hexokinase, isocitrate, isoenzyme, isozymes, malate, rapd, electrophoretic, glycerol","subspecies, polymorphic, dehydrogenase, rapd, polymorphism, hexokinase, esterases, electrophoretic, electrophoresis, glycerol-phosphate, phosphate, isoenzymes",T10: subspecies / rapd / polymorphic
