topic,semantic_coherence,exclusivity,short_label
1,-98.58727538961722,10.846207614131673,T1: clades / taxonomy / ecology
2,-81.1467933532647,11.709725393466252,T2: lactic / lab / probiotic
3,-161.70385975193892,11.744205528457313,T3: production / virus / viruses
4,-82.99256914684217,11.399252817091707,T4: mitogenome / rearrangement / complete
5,-72.18595882121377,11.346194591895351,T5: heterochromatin / karyotype / cytogenetic
6,-105.13259221943476,11.122212651693363,T6: numts / restriction / coi
7,-72.30810176758726,11.195418996206996,T7: population / populations / microsatellite
8,-97.39416484296544,11.50764702313991,T8: queens / caste / sex
9,-115.80018064977979,11.25230193007904,T9: microbiome / exposure / malpighian
10,-120.34390374421683,11.553403073420439,T10: subspecies / rapd / polymorphic
