year,topic,mean_prevalence,n_documents,short_label,prevalence_smooth
1950,1,0.001794339172342523,2,T1: clades / taxonomy / ecology,0.001794339172342523
1951,1,0,0,T1: clades / taxonomy / ecology,5.981130574475076e-4
1952,1,0,0,T1: clades / taxonomy / ecology,0
1953,1,0,0,T1: clades / taxonomy / ecology,0
1954,1,0,0,T1: clades / taxonomy / ecology,0
1955,1,0,0,T1: clades / taxonomy / ecology,0
1956,1,0,0,T1: clades / taxonomy / ecology,0
1957,1,0,0,T1: clades / taxonomy / ecology,0
1958,1,0,0,T1: clades / taxonomy / ecology,0
1959,1,0,0,T1: clades / taxonomy / ecology,0
1960,1,0,0,T1: clades / taxonomy / ecology,0
1961,1,0,0,T1: clades / taxonomy / ecology,0
1962,1,0,0,T1: clades / taxonomy / ecology,0
1963,1,0,0,T1: clades / taxonomy / ecology,0
1964,1,0,0,T1: clades / taxonomy / ecology,0
1965,1,0,0,T1: clades / taxonomy / ecology,6.260925139738422e-4
1966,1,0.0018782775419215266,1,T1: clades / taxonomy / ecology,6.260925139738422e-4
1967,1,0,0,T1: clades / taxonomy / ecology,6.260925139738422e-4
1968,1,0,0,T1: clades / taxonomy / ecology,6.485750071252273e-4
1969,1,0.0019457250213756818,3,T1: clades / taxonomy / ecology,0.001773752397528516
1970,1,0.0033755321712098663,1,T1: clades / taxonomy / ecology,0.001773752397528516
1971,1,0,0,T1: clades / taxonomy / ecology,0.01680457338385401
1972,1,0.04703818798035217,2,T1: clades / taxonomy / ecology,0.015679395993450723
1973,1,0,0,T1: clades / taxonomy / ecology,0.015828576078022204
1974,1,4.475402537144406e-4,1,T1: clades / taxonomy / ecology,0.0010435243871683758
1975,1,0.0026830329077906874,2,T1: clades / taxonomy / ecology,0.0014301732570662605
1976,1,0.001159946609693654,1,T1: clades / taxonomy / ecology,0.0012809931724947804
1977,1,0,0,T1: clades / taxonomy / ecology,3.866488698978847e-4
1978,1,0,0,T1: clades / taxonomy / ecology,0.02524901951450518
1979,1,0.07574705854351554,2,T1: clades / taxonomy / ecology,0.02524901951450518
1980,1,0,0,T1: clades / taxonomy / ecology,0.02524901951450518
1981,1,0,0,T1: clades / taxonomy / ecology,0
1982,1,0,0,T1: clades / taxonomy / ecology,0.06869556793559514
1983,1,0.20608670380678545,2,T1: clades / taxonomy / ecology,0.06871645556647796
1984,1,6.266289264843776e-5,1,T1: clades / taxonomy / ecology,0.06871645556647796
1985,1,0,0,T1: clades / taxonomy / ecology,2.4023207587963108e-4
1986,1,6.580333349904555e-4,3,T1: clades / taxonomy / ecology,7.599335209180103e-4
1987,1,0.0016217672277635757,3,T1: clades / taxonomy / ecology,0.0016439624095558047
1988,1,0.002652086665913383,1,T1: clades / taxonomy / ecology,0.001442849882171457
1989,1,5.4695752837412274e-5,1,T1: clades / taxonomy / ecology,9.070719786980656e-4
1990,1,1.4433517343401637e-5,1,T1: clades / taxonomy / ecology,2.913691723037733e-5
1991,1,1.8281481510318088e-5,4,T1: clades / taxonomy / ecology,3.9470898518821786e-4
1992,1,0.001151411956710934,3,T1: clades / taxonomy / ecology,3.8989781274041734e-4
1993,1,0,0,T1: clades / taxonomy / ecology,5.749595717088388e-4
1994,1,5.734667584155825e-4,2,T1: clades / taxonomy / ecology,4.2827580683760415e-4
1995,1,7.1136066209723e-4,4,T1: clades / taxonomy / ecology,4.2827580683760415e-4
1996,1,0,0,T1: clades / taxonomy / ecology,6.832584390819124e-4
1997,1,0.001338414655148507,2,T1: clades / taxonomy / ecology,0.002591156916230972
1998,1,0.006435056093544409,2,T1: clades / taxonomy / ecology,0.005290495466629106
1999,1,0.008098015651194404,2,T1: clades / taxonomy / ecology,0.005134652746678841
2000,1,8.708864952977104e-4,3,T1: clades / taxonomy / ecology,0.015188957761761808
2001,1,0.03659797113879331,3,T1: clades / taxonomy / ecology,0.013678528702697432
2002,1,0.0035667284740012765,3,T1: clades / taxonomy / ecology,0.10455005994818378
2003,1,0.2734854802317568,3,T1: clades / taxonomy / ecology,0.1071148234510562
2004,1,0.04429226164741058,6,T1: clades / taxonomy / ecology,0.11316954809684535
2005,1,0.021730902411368675,7,T1: clades / taxonomy / ecology,0.05249855558485237
2006,1,0.09147250269577785,9,T1: clades / taxonomy / ecology,0.0857369176738895
2007,1,0.14400734791452197,8,T1: clades / taxonomy / ecology,0.11651675968686706
2008,1,0.11407042845030141,9,T1: clades / taxonomy / ecology,0.10539785885731381
2009,1,0.05811580020711809,15,T1: clades / taxonomy / ecology,0.1271136569918907
2010,1,0.2091547423182526,17,T1: clades / taxonomy / ecology,0.09403780323354743
2011,1,0.01484286717527164,11,T1: clades / taxonomy / ecology,0.09659895160789829
2012,1,0.06579924533017066,13,T1: clades / taxonomy / ecology,0.05632772250160909
2013,1,0.08834105499938498,15,T1: clades / taxonomy / ecology,0.07531243077854695
2014,1,0.07179699200608525,16,T1: clades / taxonomy / ecology,0.05438489086236314
2015,1,0.0030166255816192074,5,T1: clades / taxonomy / ecology,0.04187228064404607
2016,1,0.05080322434443376,10,T1: clades / taxonomy / ecology,0.04120312719665911
2017,1,0.06978953166392438,12,T1: clades / taxonomy / ecology,0.04812118828311838
2018,1,0.023770808840996995,16,T1: clades / taxonomy / ecology,0.04162448213397924
2019,1,0.03131310589701636,16,T1: clades / taxonomy / ecology,0.03455660376945741
2020,1,0.048585896570358895,16,T1: clades / taxonomy / ecology,0.05179124016876303
2021,1,0.07547471803891384,26,T1: clades / taxonomy / ecology,0.06821221058753814
2022,1,0.0805760171533417,23,T1: clades / taxonomy / ecology,0.07061978335584544
2023,1,0.055808614875280806,31,T1: clades / taxonomy / ecology,0.07875228034183021
2024,1,0.09987220899686812,21,T1: clades / taxonomy / ecology,0.08976288152608784
2025,1,0.11360782070611462,39,T1: clades / taxonomy / ecology,0.1465461776135155
2026,1,0.22615850313756378,11,T1: clades / taxonomy / ecology,0.22615850313756378
1950,2,0.0033261175261101975,2,T2: lactic / lab / probiotic,0.0033261175261101975
1951,2,0,0,T2: lactic / lab / probiotic,0.0011087058420367324
1952,2,0,0,T2: lactic / lab / probiotic,0
1953,2,0,0,T2: lactic / lab / probiotic,0
1954,2,0,0,T2: lactic / lab / probiotic,0
1955,2,0,0,T2: lactic / lab / probiotic,0
1956,2,0,0,T2: lactic / lab / probiotic,0
1957,2,0,0,T2: lactic / lab / probiotic,0
1958,2,0,0,T2: lactic / lab / probiotic,0
1959,2,0,0,T2: lactic / lab / probiotic,0
1960,2,0,0,T2: lactic / lab / probiotic,0
1961,2,0,0,T2: lactic / lab / probiotic,0
1962,2,0,0,T2: lactic / lab / probiotic,0
1963,2,0,0,T2: lactic / lab / probiotic,0
1964,2,0,0,T2: lactic / lab / probiotic,0
1965,2,0,0,T2: lactic / lab / probiotic,4.108375301151259e-4
1966,2,0.0012325125903453777,1,T2: lactic / lab / probiotic,4.108375301151259e-4
1967,2,0,0,T2: lactic / lab / probiotic,4.108375301151259e-4
1968,2,0,0,T2: lactic / lab / probiotic,0.02788530436329987
1969,2,0.08365591308989961,3,T2: lactic / lab / probiotic,0.15945829021722485
1970,2,0.394718957561775,1,T2: lactic / lab / probiotic,0.15945829021722485
1971,2,0,0,T2: lactic / lab / probiotic,0.17079185865473828
1972,2,0.11765661840243985,2,T2: lactic / lab / probiotic,0.03921887280081328
1973,2,0,0,T2: lactic / lab / probiotic,0.03962542762791204
1974,2,0.0012196644812962811,1,T2: lactic / lab / probiotic,0.005576813920934272
1975,2,0.015510777281506537,2,T2: lactic / lab / probiotic,0.007253880042457152
1976,2,0.005031198364568641,1,T2: lactic / lab / probiotic,0.006847325215358392
