single_biogeographic_region,topic,article_label,short_label_article,compact_label,broader_theme,mean_prevalence,n_documents,topic_mean,prevalence_lift
Afrotropical,1,"Phylogenomics, taxonomy and evolutionary relationships",Phylogenomics/taxonomy,T1. Phylogenomics/taxonomy,Evolutionary relationships and taxonomy,0.10278447183972386,8,0.0774151988057304,0.02536927303399346
Afrotropical,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,Microbiome and symbiosis,0.003637245074667616,8,0.07659038773015463,-0.07295314265548701
Afrotropical,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,Disease ecology and environmental DNA,0.2780527896417568,8,0.14577650499227152,0.13227628464948527
Afrotropical,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,Genome architecture and comparative genomics,0.12427407399066916,8,0.10822718920848051,0.016046884782188645
Afrotropical,5,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,Cytogenetics and cytogenomics,0.0011331554373238194,8,0.06176824823112838,-0.06063509279380456
Afrotropical,6,mtDNA/COI marker assays and DNA barcoding,mtDNA/COI markers,T6. mtDNA/COI markers,"Marker assays, barcoding and molecular identification",0.3097322573275106,8,0.20924550458812075,0.10048675273938984
Afrotropical,7,"Population genetics, microsatellites and morphometrics",Population genetics,T7. Population genetics,Population structure and phenotypic differentiation,0.053527479473520004,8,0.12773556255614688,-0.07420808308262687
Afrotropical,8,"Gene expression, caste differentiation and reproductive genetics",Expression/caste,T8. Expression/caste,Functional and reproductive genomics,0.0017608788547010367,8,0.059886418089307406,-0.058125539234606366
Afrotropical,9,"Gut microbiome, detoxification and exposure responses",Microbiome/exposure,T9. Microbiome/exposure,Microbiome and environmental stress,0.12289267621393724,8,0.09310110621587059,0.029791569998066647
Afrotropical,10,"Allozyme, RAPD and enzyme polymorphism markers",Allozyme/RAPD markers,T10. Allozyme/RAPD markers,Classical marker-based genetics,0.0022049721461899112,8,0.040253879582788935,-0.03804890743659902
Indo-Australasian,1,"Phylogenomics, taxonomy and evolutionary relationships",Phylogenomics/taxonomy,T1. Phylogenomics/taxonomy,Evolutionary relationships and taxonomy,0.06311674578963056,63,0.0774151988057304,-0.014298453016099846
Indo-Australasian,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,Microbiome and symbiosis,0.18542066595749931,63,0.07659038773015463,0.10883027822734469
Indo-Australasian,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,Disease ecology and environmental DNA,0.09142097746353346,63,0.14577650499227152,-0.054355527528738054
Indo-Australasian,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,Genome architecture and comparative genomics,0.1569573478633719,63,0.10822718920848051,0.04873015865489139
Indo-Australasian,5,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,Cytogenetics and cytogenomics,0.017749880553798277,63,0.06176824823112838,-0.0440183676773301
Indo-Australasian,6,mtDNA/COI marker assays and DNA barcoding,mtDNA/COI markers,T6. mtDNA/COI markers,"Marker assays, barcoding and molecular identification",0.2164703828410281,63,0.20924550458812075,0.007224878252907352
Indo-Australasian,7,"Population genetics, microsatellites and morphometrics",Population genetics,T7. Population genetics,Population structure and phenotypic differentiation,0.1202839974911192,63,0.12773556255614688,-0.007451565065027671
