topic,prob,frex,lift,score,short_label,article_label,short_label_article,broader_theme,rationale,compact_label,plot_label
1,"evolution, genome, dna, molecular, phylogeny, size, phylogenetic, analyses, social, group, two, clade","clades, taxonomy, ecology, clade, selection, size, evolution, influence, relationships, divergence, cuticular, cytometry","influence, opsin, framework, ecology, find, combining, integrative, sensu, infer, clades, includes, bumblebee","influence, evolution, genome, clades, cytometry, cuticular, ecology, size, opsin, mitochondrial, divergence, relationships",T1: clades / taxonomy / ecology,"Phylogenomics, taxonomy and evolutionary relationships",Phylogenomics/taxonomy,Evolutionary relationships and taxonomy,"FREX terms and top documents emphasize clades, taxonomy, phylogeny, divergence, comparative evolutionary relationships and broad phylogenomic syntheses.",T1. Phylogenomics/taxonomy,"T1. Phylogenomics, taxonomy and evolutionary relationships"
2,"honey, bacteria, acid, isolated, lactic, bacterial, lab, food, activity, strain, isolates, lactobacillus","lactic, lab, probiotic, fungus, bacillus, yeast, isolates, strain, isolated, acid, fermentation, bacteria","ani, applications, aureus, culture, gram, plantarum, staphylococcus, antibiotic, ascomycetes, ascomycota, bacillus, basidiomycetes","bacteria, lactic, probiotic, lab, isolates, bacterial, strain, lactobacillus, polyploidy, fungus, strains, yeast",T2: lactic / lab / probiotic,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,Microbiome and symbiosis,"Terms such as lactic acid bacteria, probiotic, bacteria, Lactobacillus, isolates, strain, fungus and yeast indicate microbial symbiont and probiotic studies associated with honey, bee bread and nest products.",T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics
3,"honey, colonies, production, apis, plant, mellifera, pollen, virus, native, viruses, plants, wild","production, virus, viruses, plant, plants, metabarcoding, viral, mellifera, wild, floral, apis, dorsata","bqcv, dwv, enhancing, medicinal, production, viral, virus, viruses, infections, floral, dorsata, plants","production, virus, viruses, honey, viral, dwv, bqcv, pollen, metabarcoding, deformed, plant, plants",T3: production / virus / viruses,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,Disease ecology and environmental DNA,"Top documents and terms include DWV, BQCV, virus, viral, pathogen spillover, pollen, plants, floral resources and metabarcoding, indicating pathogen detection and environmental/community DNA surveys.",T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding"
4,"genome, gene, mitochondrial, rna, genes, sequence, mitogenome, dna, complete, phylogeny, evolution, sequencing","mitogenome, rearrangement, complete, heteroplasmy, pcgs, trna, genome, transfer, rna, codon, protein-coding, genomes","code, unusual, coding, d-loop, dinucleotide, heteroplasmy, mitogenome, pcgs, rnas, trna, codon, phylogenomics","mitogenome, genome, mitochondrial, pcgs, rearrangement, trna, heteroplasmy, protein-coding, transfer, codon, mitogenomes, dinucleotide",T4: mitogenome / rearrangement / complete,Mitogenomics and mitochondrial genome evolution,Mitogenomics,Genome architecture and comparative genomics,"Terms such as mitogenome, mitochondrial genome, complete genome, rearrangement, PCGs, tRNA, heteroplasmy and codon identify complete mitogenome and mitochondrial genome-architecture studies.",T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution
5,"chromosome, heterochromatin, chromosomes, karyotype, cytogenetic, number, dna, analysis, evolution, staining, chromosomal, hybridization","heterochromatin, karyotype, cytogenetic, cytogenetics, heterochromatic, situ, fluorochrome, karyotypic, chromosome, chromosomes, fish, c-banding","centric, centromeric, diamidino, fission, fusion, localization, phenylindole, sequential, stain, acrocentric, autosome, base-specific","heterochromatin, chromosome, chromosomes, karyotype, cytogenetic, heterochromatic, chromosomal, repetitive, staining, cytogenetics, supernumerary, fluorochrome",T5: heterochromatin / karyotype / cytogenetic,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,Cytogenetics and cytogenomics,"Terms including chromosome, heterochromatin, karyotype, cytogenetic, FISH, fluorochrome, C-banding and repetitive DNA define cytogenetic and chromosome-architecture studies.",T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture"
6,"dna, sequence, mitochondrial, molecular, analysis, genetic, identification, sequences, restriction, morphological, coi, gene","numts, restriction, coi, fragment, morphological, cytochrome, its, barcoding, polymerase, oxidase, length, chain","bootstrap, numt, numts, transcribed, ecori, identifications, methodology, mitocondrial, possibility, sscp, rflp, homology","numts, mitochondrial, restriction, polymorphism, barcoding, coi, mtdna, its, numt, fragment, haplotypes, primer",T6: numts / restriction / coi,mtDNA/COI marker assays and DNA barcoding,mtDNA/COI markers,"Marker assays, barcoding and molecular identification","Terms such as NUMTs, restriction, COI, cytochrome oxidase, ITS, barcoding, PCR, fragment length and mtDNA indicate Sanger-era marker assays, RFLP and molecular identification.",T6. mtDNA/COI markers,T6. mtDNA/COI marker assays and DNA barcoding
7,"genetic, population, populations, microsatellite, diversity, structure, differentiation, gene, variation, conservation, colonies, variability","population, populations, microsatellite, geometric, differentiation, structure, microsatellites, geographic, issr, flow, genetic, loci","amova, cytb, equilibrium, genotyped, scientific, structured, upgma, analyzing, barrier, concerns, demographic, fragmentation","populations, microsatellite, genetic, geometric, issr, microsatellites, heterozygosity, loci, morphometrics, variability, morphometry, alleles",T7: population / populations / microsatellite,"Population genetics, microsatellites and morphometrics",Population genetics,Population structure and phenotypic differentiation,"Terms and top documents emphasize population structure, microsatellites, ISSR, genetic diversity, gene flow, differentiation, heterozygosity and geometric morphometrics.",T7. Population genetics,"T7. Population genetics, microsatellites and morphometrics"
8,"gene, expression, genes, males, workers, social, queens, caste, sex, male, determination, insect","queens, caste, sex, juvenile, hormone, reproductive, determination, males, mating, diploid, developmental, expressed","cdna, egg, hormones, methyl, mrna, ovary, pupa, pupal, queens, transcripts, underlying, virgin","sex, males, expression, juvenile, caste, diploid, queens, hormone, workers, expressed, transcriptome, reproductive",T8: queens / caste / sex,"Gene expression, caste differentiation and reproductive genetics",Expression/caste,Functional and reproductive genomics,"Terms such as expression, transcriptome, queens, workers, caste, juvenile hormone, sex determination, diploid males and reproductive development indicate functional and reproductive genetics.",T8. Expression/caste,"T8. Gene expression, caste differentiation and reproductive genetics"
9,"gut, microbiota, microbiome, bacterial, bacteria, animal, expression, composition, animals, microbial, detoxification, associated","microbiome, exposure, malpighian, microbiomes, sublethal, gut, symbionts, detoxification, microbiota, response, tubules, pesticide","exposure, lep, malpighian, neonicotinoid, pesticide, responses, symbiont, tubule, acetobacteraceae, agrochemicals, guts, insecticide","gut, microbiota, microbiome, bacterial, sublethal, bacteria, exposure, malpighian, microbiomes, microbial, detoxification, symbionts",T9: microbiome / exposure / malpighian,"Gut microbiome, detoxification and exposure responses",Microbiome/exposure,Microbiome and environmental stress,"Terms including gut, microbiota, microbiome, bacterial, microbial, sublethal exposure, Malpighian tubules, pesticide and detoxification identify gut microbial studies and molecular responses to exposure.",T9. Microbiome/exposure,"T9. Gut microbiome, detoxification and exposure responses"
10,"two, genetic, subspecies, marker, polymorphic, one, variation, polymorphism, dehydrogenase, colonies, markers, observed","subspecies, rapd, polymorphic, dehydrogenase, gerais, isoenzymes, marker, esterases, bands, frequency, enzyme, polymorphism","allozyme, electrophoresis, esterases, gel, hexokinase, isocitrate, isoenzyme, isozymes, malate, rapd, electrophoretic, glycerol","subspecies, polymorphic, dehydrogenase, rapd, polymorphism, hexokinase, esterases, electrophoretic, electrophoresis, glycerol-phosphate, phosphate, isoenzymes",T10: subspecies / rapd / polymorphic,"Allozyme, RAPD and enzyme polymorphism markers",Allozyme/RAPD markers,Classical marker-based genetics,"Terms such as isoenzymes, allozymes, electrophoresis, dehydrogenase, esterases, RAPD, polymorphism and enzyme variants indicate classical biochemical and early molecular marker studies.",T10. Allozyme/RAPD markers,"T10. Allozyme, RAPD and enzyme polymorphism markers"
