genus,topic,article_label,short_label_article,compact_label,broader_theme,mean_prevalence,n_articles,n_articles_ai_studied_genus_combined
Melipona,1,"Phylogenomics, taxonomy and evolutionary relationships",Phylogenomics/taxonomy,T1. Phylogenomics/taxonomy,Evolutionary relationships and taxonomy,0.058465191805927255,178,178
Melipona,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,Microbiome and symbiosis,0.05156307793575192,178,178
Melipona,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,Disease ecology and environmental DNA,0.08601614740113868,178,178
Melipona,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,Genome architecture and comparative genomics,0.07215537282065525,178,178
Melipona,5,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,Cytogenetics and cytogenomics,0.11805384215069499,178,178
Melipona,6,mtDNA/COI marker assays and DNA barcoding,mtDNA/COI markers,T6. mtDNA/COI markers,"Marker assays, barcoding and molecular identification",0.10969127901427975,178,178
Melipona,7,"Population genetics, microsatellites and morphometrics",Population genetics,T7. Population genetics,Population structure and phenotypic differentiation,0.16390025824186544,178,178
Melipona,8,"Gene expression, caste differentiation and reproductive genetics",Expression/caste,T8. Expression/caste,Functional and reproductive genomics,0.17445784307927964,178,178
Melipona,9,"Gut microbiome, detoxification and exposure responses",Microbiome/exposure,T9. Microbiome/exposure,Microbiome and environmental stress,0.08483713464183164,178,178
Melipona,10,"Allozyme, RAPD and enzyme polymorphism markers",Allozyme/RAPD markers,T10. Allozyme/RAPD markers,Classical marker-based genetics,0.08085985290857554,178,178
Tetragonula,1,"Phylogenomics, taxonomy and evolutionary relationships",Phylogenomics/taxonomy,T1. Phylogenomics/taxonomy,Evolutionary relationships and taxonomy,0.08039079110937303,46,46
Tetragonula,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,Microbiome and symbiosis,0.10526862723158777,46,46
Tetragonula,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,Disease ecology and environmental DNA,0.04441124859339152,46,46
Tetragonula,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,Genome architecture and comparative genomics,0.18698719685880813,46,46
Tetragonula,5,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,Cytogenetics and cytogenomics,0.0026643761653775975,46,46
