"edge_id","parent","child","descendant_genera","edge_count_mean","edge_mapped_value_mean","edge_color","basal_compression"
1,41,42,"Ptilotrigona; Tetragona; Cephalotrigona; Geotrigona; Trigona; Oxytrigona; Meliwillea; Scaptotrigona; Duckeola; Trichotrigona; Tetragonisca; Scaura; Friesella; Lestrimelitta; Mourella; Schwarziana; Nannotrigona; Nogueirapis; Partamona; Paratrigona; Paratrigonoides; Melipona; Trigonisca",16.1739130434783,1.60433570846083,"#00D7B6",1.8
2,42,43,"Ptilotrigona; Tetragona; Cephalotrigona; Geotrigona; Trigona; Oxytrigona; Meliwillea; Scaptotrigona; Duckeola; Trichotrigona; Tetragonisca; Scaura; Friesella; Lestrimelitta; Mourella; Schwarziana; Nannotrigona; Nogueirapis; Partamona; Paratrigona; Paratrigonoides; Melipona",16.8181818181818,1.62732313663323,"#00D8B3",1.8
3,43,44,"Ptilotrigona; Tetragona; Cephalotrigona; Geotrigona; Trigona; Oxytrigona; Meliwillea; Scaptotrigona; Duckeola; Trichotrigona; Tetragonisca; Scaura; Friesella; Lestrimelitta; Mourella; Schwarziana; Nannotrigona; Nogueirapis; Partamona; Paratrigona; Paratrigonoides",9.14285714285714,1.45779634286144,"#00D3C9",1.8
4,44,45,"Ptilotrigona; Tetragona; Cephalotrigona; Geotrigona; Trigona; Oxytrigona; Meliwillea; Scaptotrigona; Duckeola; Trichotrigona; Tetragonisca; Scaura; Friesella; Lestrimelitta; Mourella; Schwarziana; Nannotrigona",8.8235294117647,1.50081510425095,"#00D4C3",1.8
5,45,46,"Ptilotrigona; Tetragona; Cephalotrigona; Geotrigona; Trigona; Oxytrigona; Meliwillea; Scaptotrigona; Duckeola; Trichotrigona; Tetragonisca; Scaura",11,1.54409503767899,"#00D6BE",1.8
6,46,47,"Ptilotrigona; Tetragona; Cephalotrigona; Geotrigona; Trigona; Oxytrigona; Meliwillea; Scaptotrigona",10.625,1.61633981164369,"#00D8B3",1.8
7,47,48,"Ptilotrigona; Tetragona; Cephalotrigona; Geotrigona; Trigona; Oxytrigona",7.16666666666667,1.52825306290932,"#00D6BE",1.8
8,48,49,"Ptilotrigona; Tetragona; Cephalotrigona; Geotrigona; Trigona",8.2,1.61418121775756,"#00D8B3",1.8
9,49,50,"Ptilotrigona; Tetragona; Cephalotrigona; Geotrigona",2.5,1.15129254649702,"#00CAF1",1.8
10,50,51,"Ptilotrigona; Tetragona; Cephalotrigona",3,1.30400766847605,"#00CFDC",1.8
11,51,52,"Ptilotrigona; Tetragona",2.5,1.15129254649702,"#00CAF1",1.8
12,52,1,"Ptilotrigona",1,0.693147180559945,"#1096FF",1.8
13,52,2,"Tetragona",4,1.6094379124341,"#00D8B3",1.8
14,51,3,"Cephalotrigona",4,1.6094379124341,"#00D8B3",1.8
15,50,4,"Geotrigona",1,0.693147180559945,"#1096FF",1.8
16,49,5,"Trigona",31,3.46573590279973,"#FFC400",1.8
17,48,6,"Oxytrigona",2,1.09861228866811,"#00C9F6",1.8
18,47,53,"Meliwillea; Scaptotrigona",21,1.88060005784678,"#00E090",1.8
19,53,7,"Meliwillea",0,0,"#3132FF",1.8
20,53,8,"Scaptotrigona",42,3.76120011569356,"#FFA000",1.8
21,46,54,"Duckeola; Trichotrigona; Tetragonisca; Scaura",11.75,1.39960548974959,"#00D2D1",1.8
22,54,55,"Duckeola; Trichotrigona; Tetragonisca",15,1.49993655677675,"#00D4C3",1.8
23,55,56,"Duckeola; Trichotrigona",0.5,0.346573590279973,"#2064FF",1.8
24,56,9,"Duckeola",0,0,"#3132FF",1.8
25,56,10,"Trichotrigona",1,0.693147180559945,"#1096FF",1.8
26,55,11,"Tetragonisca",44,3.80666248977032,"#FF9800",1.8
27,54,12,"Scaura",2,1.09861228866811,"#00C9F6",1.8
28,45,57,"Friesella; Lestrimelitta; Mourella; Schwarziana; Nannotrigona",3.6,1.39694326402365,"#00D2D1",1.8
29,57,58,"Friesella; Lestrimelitta",3,1.3540251005511,"#00D0D6",1.8
30,58,13,"Friesella",2,1.09861228866811,"#00C9F6",1.8
31,58,14,"Lestrimelitta",4,1.6094379124341,"#00D8B3",1.8
32,57,59,"Mourella; Schwarziana; Nannotrigona",4,1.42555537300535,"#00D3CB",1.8
33,59,60,"Mourella; Schwarziana",2,1.03972077083992,"#00C8FF",1.8
34,60,15,"Mourella",1,0.693147180559945,"#1096FF",1.8
