"edge_id","parent","child","descendant_genera","edge_count_mean","edge_mapped_value_mean","edge_color","basal_compression"
1,41,42,"Ptilotrigona; Tetragona; Cephalotrigona; Geotrigona; Trigona; Oxytrigona; Meliwillea; Scaptotrigona; Duckeola; Trichotrigona; Tetragonisca; Scaura; Friesella; Lestrimelitta; Mourella; Schwarziana; Nannotrigona; Nogueirapis; Partamona; Paratrigona; Paratrigonoides; Melipona; Trigonisca",13.7391304347826,1.34366314367219,"#00D1D4",1.8
2,42,43,"Ptilotrigona; Tetragona; Cephalotrigona; Geotrigona; Trigona; Oxytrigona; Meliwillea; Scaptotrigona; Duckeola; Trichotrigona; Tetragonisca; Scaura; Friesella; Lestrimelitta; Mourella; Schwarziana; Nannotrigona; Nogueirapis; Partamona; Paratrigona; Paratrigonoides; Melipona",14.3181818181818,1.37323205108639,"#00D2D1",1.8
3,43,44,"Ptilotrigona; Tetragona; Cephalotrigona; Geotrigona; Trigona; Oxytrigona; Meliwillea; Scaptotrigona; Duckeola; Trichotrigona; Tetragonisca; Scaura; Friesella; Lestrimelitta; Mourella; Schwarziana; Nannotrigona; Nogueirapis; Partamona; Paratrigona; Paratrigonoides",7.38095238095238,1.19665241709124,"#00CDE6",1.8
4,44,45,"Ptilotrigona; Tetragona; Cephalotrigona; Geotrigona; Trigona; Oxytrigona; Meliwillea; Scaptotrigona; Duckeola; Trichotrigona; Tetragonisca; Scaura; Friesella; Lestrimelitta; Mourella; Schwarziana; Nannotrigona",6.88235294117647,1.2234686716841,"#00CDE4",1.8
5,45,46,"Ptilotrigona; Tetragona; Cephalotrigona; Geotrigona; Trigona; Oxytrigona; Meliwillea; Scaptotrigona; Duckeola; Trichotrigona; Tetragonisca; Scaura",8.5,1.19072575650888,"#00CCE9",1.8
6,46,47,"Ptilotrigona; Tetragona; Cephalotrigona; Geotrigona; Trigona; Oxytrigona; Meliwillea; Scaptotrigona",7.25,1.22642153295354,"#00CDE4",1.8
7,47,48,"Ptilotrigona; Tetragona; Cephalotrigona; Geotrigona; Trigona; Oxytrigona",3.5,1.02896435065032,"#00C8FF",1.8
8,48,49,"Ptilotrigona; Tetragona; Cephalotrigona; Geotrigona; Trigona",4,1.0961277846684,"#00CAF4",1.8
9,49,50,"Ptilotrigona; Tetragona; Cephalotrigona; Geotrigona",1.5,0.693147180559945,"#1096FF",1.8
10,50,51,"Ptilotrigona; Tetragona; Cephalotrigona",2,0.924196240746594,"#04B9FF",1.8
11,51,52,"Ptilotrigona; Tetragona",1.5,0.693147180559945,"#1096FF",1.8
12,52,1,"Ptilotrigona",0,0,"#3132FF",1.8
13,52,2,"Tetragona",3,1.38629436111989,"#00D2CE",1.8
14,51,3,"Cephalotrigona",3,1.38629436111989,"#00D2CE",1.8
15,50,4,"Geotrigona",0,0,"#3132FF",1.8
16,49,5,"Trigona",14,2.70805020110221,"#A4EC29",1.8
17,48,6,"Oxytrigona",1,0.693147180559945,"#1096FF",1.8
18,47,53,"Meliwillea; Scaptotrigona",18.5,1.81879307986319,"#00DF93",1.8
19,53,7,"Meliwillea",0,0,"#3132FF",1.8
20,53,8,"Scaptotrigona",37,3.63758615972639,"#FFA500",1.8
21,46,54,"Duckeola; Trichotrigona; Tetragonisca; Scaura",11,1.11933420361955,"#00CAF1",1.8
22,54,55,"Duckeola; Trichotrigona; Tetragonisca",14.3333333333333,1.26139654463942,"#00CFDE",1.8
23,55,56,"Duckeola; Trichotrigona",0,0,"#3132FF",1.8
24,56,9,"Duckeola",0,0,"#3132FF",1.8
25,56,10,"Trichotrigona",0,0,"#3132FF",1.8
26,55,11,"Tetragonisca",43,3.78418963391826,"#FF9300",1.8
27,54,12,"Scaura",1,0.693147180559945,"#1096FF",1.8
28,45,57,"Friesella; Lestrimelitta; Mourella; Schwarziana; Nannotrigona",3,1.30205166810463,"#00D0D9",1.8
29,57,58,"Friesella; Lestrimelitta",2.5,1.242453324894,"#00CEE1",1.8
30,58,13,"Friesella",2,1.09861228866811,"#00CAF4",1.8
31,58,14,"Lestrimelitta",3,1.38629436111989,"#00D2CE",1.8
32,57,59,"Mourella; Schwarziana; Nannotrigona",3.33333333333333,1.34178389691172,"#00D1D4",1.8
33,59,60,"Mourella; Schwarziana",2,1.03972077083992,"#00C8FC",1.8
34,60,15,"Mourella",1,0.693147180559945,"#1096FF",1.8
35,60,16,"Schwarziana",3,1.38629436111989,"#00D2CE",1.8
36,59,17,"Nannotrigona",6,1.94591014905531,"#00E383",1.8
37,44,61,"Nogueirapis; Partamona; Paratrigona; Paratrigonoides",9.5,1.08268333507158,"#00C9F6",1.8
38,61,62,"Nogueirapis; Partamona",18.5,1.81879307986319,"#00DF93",1.8
